sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T04:58:57.936969522Z	0	26	10000	3	2	97	1235	0.000	3692	0.000	635494	0.000	344051	0.000	115525	0.000	152957	0.000	4	0.000	1355277106	0.000	282381045	0.000	65536	8259	5999	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	540	0.000	0	0.000	0.000	122	0.000	1235	0	0.000
1	2026-09-24T04:58:58.938093732Z	1001	26	10000	3	2	97	1235	0.000	3692	0.000	635516	21.975	344072	20.976	115525	0.000	152957	0.000	4	0.000	1355301974	24840.074	282412335	31254.863	65536	8259	5799	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	541	0.999	0	0.000	0.000	122	0.000	1235	0	0.000
2	2026-09-24T04:58:59.938115482Z	2001	26	10000	3	2	97	1235	0.000	3692	0.000	635538	22.000	344093	21.000	115525	0.000	152957	0.000	4	0.000	1355326842	24867.459	282443625	31289.320	65536	8259	5599	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	542	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
3	2026-09-24T04:59:00.938095232Z	3001	26	10000	3	2	97	1235	0.000	3692	0.000	635560	22.000	344114	21.000	115525	0.000	152957	0.000	4	0.000	1355351710	24868.503	282474915	31290.633	65536	8259	5399	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	543	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
4	2026-09-24T04:59:01.938200335Z	4001	26	10000	3	2	97	1235	0.000	3692	0.000	635582	21.998	344135	20.998	115525	0.000	152957	0.000	4	0.000	1355376578	24865.387	282506205	31286.712	65536	8259	5199	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	544	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
5	2026-09-24T04:59:02.938320657Z	5001	26	10000	3	2	97	1235	0.000	3692	0.000	635604	21.997	344156	20.997	115525	0.000	152957	0.000	4	0.000	1355401446	24865.008	282537495	31286.235	65536	8259	4999	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	545	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
6	2026-09-24T04:59:03.938339178Z	6001	26	10000	3	2	97	1235	0.000	3692	0.000	635626	22.000	344177	21.000	115525	0.000	152957	0.000	4	0.000	1355426314	24867.540	282568785	31289.421	65536	8259	4799	104198568	0.000	4549	0.000	0.000	1	293	0.000	2366471	0.000	0	0.000	546	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
7	2026-09-24T04:59:04.938418957Z	7001	26	10000	4	3	96	1235	0.000	3693	1.000	635677	50.996	344201	23.998	115525	0.000	152957	0.000	4	0.000	1355454372	28055.762	282600704	31916.454	65536	8265	4885	104229889	31318.501	4633	83.993	99.732	1	293	0.000	2366471	0.000	0	0.000	547	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
8	2026-09-24T04:59:05.938659459Z	8001	26	10000	4	3	96	1235	0.000	3694	1.000	635773	95.977	344223	21.995	115534	8.998	152957	0.000	4	0.000	1356733246	1278566.512	282633389	32677.141	65536	8137	4465	104349755	119837.180	4646	12.997	99.989	1	293	0.000	2366471	0.000	0	0.000	548	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
9	2026-09-24T04:59:06.938601013Z	9001	26	10000	4	3	96	1235	0.000	3694	0.000	635800	27.002	344244	21.001	115539	5.000	152957	0.000	4	0.000	1361910856	5177912.576	282664959	31571.845	65536	7944	4116	104859949	510223.815	4646	0.000	100.000	1	293	0.000	2366471	0.000	0	0.000	549	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
