sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T04:58:57.998071986Z	0	26	10000	3	2	0	3	0.000	52	0.000	12519	0.000	10217	0.000	1134	0.000	0	0.000	2	0.000	1137372480	0.000	15184422	0.000	65536	8218	6083	72877003	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	538	0.000	0	0.000	0.000	0	0.000	3	0	0.000
1	2026-09-24T04:58:58.99918936Z	1001	26	10000	3	2	0	3	0.000	52	0.000	12541	21.975	10238	20.977	1134	0.000	0	0.000	2	0.000	1137397348	24840.244	15215682	31225.110	65536	8218	5916	72877642	638.287	1551	0.000	100.000	0	0	0.000	0	0.000	0	0.000	539	0.999	0	0.000	0.000	0	0.000	3	0	0.000
2	2026-09-24T04:58:59.999095986Z	2001	26	10000	3	2	0	3	0.000	52	0.000	12563	22.002	10259	21.002	1134	0.000	0	0.000	2	0.000	1137422216	24870.322	15246942	31262.919	65536	8218	5716	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	540	1.000	0	0.000	0.000	0	0.000	3	0	0.000
3	2026-09-24T04:59:00.999144611Z	3001	26	10000	3	2	0	3	0.000	52	0.000	12585	21.999	10280	20.999	1134	0.000	0	0.000	2	0.000	1137447084	24866.791	15278202	31258.480	65536	8218	5516	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	541	1.000	0	0.000	0.000	0	0.000	3	0	0.000
4	2026-09-24T04:59:01.999457194Z	4001	26	10000	3	2	0	3	0.000	52	0.000	12607	21.993	10301	20.993	1134	0.000	0	0.000	2	0.000	1137471952	24860.229	15309462	31250.232	65536	8218	5316	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	542	1.000	0	0.000	0.000	0	0.000	3	0	0.000
5	2026-09-24T04:59:02.99914849Z	5001	26	10000	3	2	0	3	0.000	52	0.000	12629	22.007	10322	21.006	1134	0.000	0	0.000	2	0.000	1137496820	24875.679	15340722	31269.653	65536	8218	5116	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	543	1.000	0	0.000	0.000	0	0.000	3	0	0.000
6	2026-09-24T04:59:03.999085434Z	6001	26	10000	3	2	0	3	0.000	52	0.000	12651	22.001	10343	21.001	1134	0.000	0	0.000	2	0.000	1137521688	24869.568	15371982	31261.971	65536	8218	4916	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	544	1.000	0	0.000	0.000	0	0.000	3	0	0.000
7	2026-09-24T04:59:04.999108566Z	7001	26	10000	3	2	0	3	0.000	52	0.000	12673	21.999	10364	21.000	1134	0.000	0	0.000	2	0.000	1137546556	24867.425	15403242	31259.277	65536	8218	4716	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	545	1.000	0	0.000	0.000	0	0.000	3	0	0.000
8	2026-09-24T04:59:05.999312771Z	8001	26	10000	3	2	0	3	0.000	52	0.000	12695	21.996	10385	20.996	1134	0.000	0	0.000	2	0.000	1137571424	24862.923	15434502	31253.618	65536	8218	4516	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	546	1.000	0	0.000	0.000	0	0.000	3	0	0.000
9	2026-09-24T04:59:06.999636558Z	9001	26	10000	3	2	0	3	0.000	52	0.000	12717	21.993	10406	20.993	1134	0.000	0	0.000	2	0.000	1137596292	24859.951	15465762	31249.882	65536	8218	4316	72877642	0.000	1551	0.000	0.000	0	0	0.000	0	0.000	0	0.000	547	1.000	0	0.000	0.000	0	0.000	3	0	0.000
