Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
383	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	67.937997	0.177384	0.590610	0.100417	0.323246	0.017255	0.000045	0.005103	199075	519.778068	679	10220	26.684073
291	SELECT COUNT(N) FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL	51.157057	0.175797	0.508144	0.100401	0.322250	0.007431	0.000026	0.004742	151467	520.505155	654	291	1.000000
122	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` = N	15.523241	0.127240	0.234338	0.100143	0.186263	0.000112	0.000001	0.000002	122	1.000000	1	0	0.000000
45	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N)	5.507039	0.122379	0.176598	0.100143	0.157663	0.000410	0.000009	0.000369	0	0.000000	0	0	0.000000
28	SELECT * FROM `users` WHERE `id` = N	3.644977	0.130178	0.209086	0.100802	0.208101	0.000026	0.000001	0.000002	28	1.000000	1	28	1.000000
21	SELECT * FROM `user_presents` WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S') AND `deleted_at` IS NULL	3.333169	0.158722	0.314058	0.101026	0.242144	0.002096	0.000100	0.002069	588	28.000000	28	588	28.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	3.109497	3.109497	3.109497	3.109497	3.109497	0.000003	0.000003	0.000003	0	0.000000	0	0	0.000000
