ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	15276	15276	0	0	0	0	2804111.000	183.563	2804116.000	183.563
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	1.000	1.000	0.000	0.000
isucon-1	127.0.0.1:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
isucon-1	127.0.0.1:8080	401	NONE	2	0	0	2	0	0	61.000	30.500	64.000	32.000
isucon-1	127.0.0.1:8080	403	NONE	537	0	0	537	0	0	31967.000	59.529	31908.000	59.419
isucon-1	127.0.0.1:8080	404	NONE	2	0	0	2	0	0	3.000	1.500	0.000	0.000
isucon-1	127.0.0.1:8080	422	NONE	11	0	0	11	0	0	16.000	1.455	16.000	1.455
isucon-1	127.0.0.1:8080	500	NONE	1	0	0	0	1	0	14.000	14.000	16.000	16.000
isucon-1	127.0.0.1:8080	NONE	NONE	107	0	0	107	0	0	33804.000	315.925	33844.000	316.299
isucon-3	NONE	NONE	NONE	3	2	0	1	0	0	253.000	84.333	0.000	0.000
isucon-5	NONE	NONE	NONE	1	1	0	0	0	0	0.000	0.000	0.000	0.000
