+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| COUNT | METHOD |                 URI                  | 2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |  SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
| 2426  | POST   | ^/user/[^/]+/present/receive$        | 2390 | 0   | 36  | 0   | 1.990  | 0.407  | 987.721 | 0.938  | 1.336  | 11500424.000 | 4740.488   |
| 1907  | POST   | /login                               | 1362 | 0   | 544 | 1   | 1.013  | 0.207  | 394.758 | 0.499  | 0.752  | 2055602.000  | 1077.924   |
| 2444  | GET    | ^/user/[^/]+/present/index/[^/]+$    | 2427 | 0   | 17  | 0   | 0.985  | 0.134  | 326.453 | 0.353  | 0.617  | 10444598.000 | 4273.567   |
| 1842  | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 1826 | 0   | 16  | 0   | 0.855  | 0.163  | 300.481 | 0.411  | 0.661  | 3798776.000  | 2062.311   |
| 573   | POST   | /user                                | 569  | 0   | 4   | 0   | 1.230  | 0.419  | 240.192 | 0.817  | 1.026  | 4121414.000  | 7192.695   |
| 1859  | GET    | ^/user/[^/]+/gacha/index$            | 1841 | 0   | 18  | 0   | 0.739  | 0.109  | 202.026 | 0.304  | 0.546  | 15956467.000 | 8583.360   |
| 1931  | GET    | ^/user/[^/]+/home$                   | 1914 | 0   | 17  | 0   | 0.573  | 0.068  | 131.387 | 0.192  | 0.371  | 744323.000   | 385.460    |
| 1351  | POST   | ^/user/[^/]+/reward$                 | 1346 | 0   | 5   | 0   | 0.579  | 0.092  | 124.714 | 0.259  | 0.471  | 289719.000   | 214.448    |
| 532   | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 531  | 0   | 1   | 0   | 0.708  | 0.105  | 56.052  | 0.301  | 0.529  | 177093.000   | 332.882    |
| 533   | GET    | ^/user/[^/]+/item$                   | 532  | 0   | 1   | 0   | 0.653  | 0.087  | 46.105  | 0.263  | 0.493  | 813268.000   | 1525.831   |
| 531   | POST   | ^/user/[^/]+/card$                   | 531  | 0   | 0   | 0   | 0.661  | 0.073  | 38.568  | 0.217  | 0.467  | 112036.000   | 210.991    |
| 1     | POST   | /initialize                          | 1    | 0   | 0   | 0   | 21.205 | 21.205 | 21.205  | 21.205 | 21.205 | 18.000       | 18.000     |
| 4     | POST   | /admin/login                         | 2    | 0   | 2   | 0   | 0.095  | 0.054  | 0.218   | 0.095  | 0.095  | 433.000      | 108.250    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1    | 0   | 0   | 0   | 0.084  | 0.084  | 0.084   | 0.084  | 0.084  | 42723.000    | 42723.000  |
| 1     | PUT    | /admin/master                        | 1    | 0   | 0   | 0   | 0.008  | 0.008  | 0.008   | 0.008  | 0.008  | 58.000       | 58.000     |
| 1     | GET    | /admin/master                        | 1    | 0   | 0   | 0   | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 118557.000   | 118557.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1    | 0   | 0   | 0   | 0.001  | 0.001  | 0.001   | 0.001  | 0.001  | 179.000      | 179.000    |
| 1     | DELETE | /admin/logout                        | 1    | 0   | 0   | 0   | 0.001  | 0.001  | 0.001   | 0.001  | 0.001  | 0.000        | 0.000      |
| 3     | GET    | /index.html                          | 3    | 0   | 0   | 0   | 0.000  | 0.000  | 0.000   | 0.000  | 0.000  | 1188.000     | 396.000    |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+---------+--------+--------+--------------+------------+
