ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	7	7	0	0	0	0	33708.000	4815.429	33708.000	4815.429
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	1.000	1.000	4.000	4.000
isucon-1	127.0.0.1:8080	401	NONE	1	0	0	1	0	0	62.000	62.000	60.000	60.000
isucon-1	127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
isucon-1	172.31.33.164:8080	200	NONE	81441	81441	0	0	0	0	318669.000	3.913	318752.000	3.914
isucon-1	172.31.33.164:8080	403	NONE	122	0	0	122	0	0	679.000	5.566	668.000	5.475
isucon-1	172.31.33.164:8080	404	NONE	1	0	0	1	0	0	10.000	10.000	12.000	12.000
isucon-1	172.31.33.164:8080	422	NONE	38	0	0	38	0	0	214.000	5.632	216.000	5.684
isucon-1	172.31.33.164:8080	NONE	NONE	3	0	0	3	0	0	8.000	2.667	4.000	1.333
isucon-1	172.31.36.222:8080	200	NONE	81123	81123	0	0	0	0	298157.000	3.675	296729.000	3.658
isucon-1	172.31.36.222:8080	403	NONE	132	0	0	132	0	0	746.000	5.652	756.000	5.727
isucon-1	172.31.36.222:8080	422	NONE	46	0	0	46	0	0	198.000	4.304	204.000	4.435
isucon-1	172.31.36.222:8080	NONE	NONE	14	0	0	14	0	0	46.000	3.286	40.000	2.857
isucon-1	172.31.36.71:8080	200	NONE	81874	81874	0	0	0	0	291371.000	3.559	291937.000	3.566
isucon-1	172.31.36.71:8080	400	NONE	2	0	0	2	0	0	1.000	0.500	0.000	0.000
isucon-1	172.31.36.71:8080	401	NONE	1	0	0	1	0	0	7.000	7.000	8.000	8.000
isucon-1	172.31.36.71:8080	403	NONE	153	0	0	153	0	0	811.000	5.301	832.000	5.438
isucon-1	172.31.36.71:8080	422	NONE	53	0	0	53	0	0	1907.000	35.981	1896.000	35.774
isucon-1	172.31.36.71:8080	NONE	NONE	1	0	0	1	0	0	4.000	4.000	4.000	4.000
isucon-1	172.31.45.54:8080	200	NONE	81142	81142	0	0	0	0	369203.000	4.550	368386.000	4.540
isucon-1	172.31.45.54:8080	403	NONE	143	0	0	143	0	0	880.000	6.154	880.000	6.154
isucon-1	172.31.45.54:8080	422	NONE	48	0	0	48	0	0	367.000	7.646	384.000	8.000
isucon-1	172.31.45.54:8080	NONE	NONE	3	0	0	3	0	0	6.000	2.000	8.000	2.667
