Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
55	SELECT * FROM `user_presents` WHERE `user_id` = N AND `id` <= N ORDER BY `id`	8.168924	0.148526	0.354192	0.100752	0.285343	0.000115	0.000002	0.000016	62660	1139.272727	1302	31330	569.636364
43	COMMIT	4.995135	0.116166	0.142498	0.100982	0.140021	0.000000	0.000000	0.000000	0	0.000000	0	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	3.584410	3.584410	3.584410	3.584410	3.584410	0.000002	0.000002	0.000002	0	0.000000	0	0	0.000000
