ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	7	7	0	0	0	0	25655.000	3665.000	25656.000	3665.143
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	17.000	17.000	16.000	16.000
isucon-1	127.0.0.1:8080	401	NONE	1	0	0	1	0	0	62.000	62.000	60.000	60.000
isucon-1	127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
isucon-1	172.31.33.164:8080	200	NONE	19205	19205	0	0	0	0	680451.000	35.431	680441.000	35.430
isucon-1	172.31.33.164:8080	403	NONE	139	0	0	139	0	0	12776.000	91.914	12756.000	91.770
isucon-1	172.31.33.164:8080	422	NONE	11	0	0	11	0	0	346.000	31.455	348.000	31.636
isucon-1	172.31.33.164:8080	NONE	NONE	22	0	0	22	0	0	4324.000	196.545	4336.000	197.091
isucon-1	172.31.36.222:8080	200	NONE	19202	19202	0	0	0	0	665247.000	34.645	665168.000	34.641
isucon-1	172.31.36.222:8080	403	NONE	134	0	0	134	0	0	13614.000	101.597	13592.000	101.433
isucon-1	172.31.36.222:8080	422	NONE	9	0	0	9	0	0	330.000	36.667	336.000	37.333
isucon-1	172.31.36.222:8080	NONE	NONE	31	0	0	31	0	0	6877.000	221.839	6888.000	222.194
isucon-1	172.31.36.71:8080	200	NONE	19209	19209	0	0	0	0	666638.000	34.704	666716.000	34.709
isucon-1	172.31.36.71:8080	400	NONE	1	0	0	1	0	0	2.000	2.000	0.000	0.000
isucon-1	172.31.36.71:8080	401	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
isucon-1	172.31.36.71:8080	403	NONE	138	0	0	138	0	0	10716.000	77.652	10696.000	77.507
isucon-1	172.31.36.71:8080	422	NONE	9	0	0	9	0	0	304.000	33.778	312.000	34.667
isucon-1	172.31.36.71:8080	NONE	NONE	19	0	0	19	0	0	4670.000	245.789	4640.000	244.211
isucon-1	172.31.45.101:8080	200	NONE	19190	19190	0	0	0	0	1129590.000	58.863	1129408.000	58.854
isucon-1	172.31.45.101:8080	403	NONE	134	0	0	134	0	0	12457.000	92.963	12465.000	93.022
isucon-1	172.31.45.101:8080	404	NONE	1	0	0	1	0	0	6.000	6.000	4.000	4.000
isucon-1	172.31.45.101:8080	422	NONE	9	0	0	9	0	0	320.000	35.556	324.000	36.000
isucon-1	172.31.45.101:8080	500	NONE	1	0	0	0	1	0	819.000	819.000	820.000	820.000
isucon-1	172.31.45.101:8080	NONE	NONE	43	0	0	43	0	0	5323.000	123.791	5320.000	123.721
isucon-1	172.31.45.54:8080	200	NONE	19209	19209	0	0	0	0	688729.000	35.854	688835.000	35.860
isucon-1	172.31.45.54:8080	400	NONE	1	0	0	1	0	0	1.000	1.000	0.000	0.000
isucon-1	172.31.45.54:8080	403	NONE	136	0	0	136	0	0	12403.000	91.199	12404.000	91.206
isucon-1	172.31.45.54:8080	422	NONE	7	0	0	7	0	0	197.000	28.143	200.000	28.571
isucon-1	172.31.45.54:8080	NONE	NONE	25	0	0	25	0	0	4515.000	180.600	4520.000	180.800
