sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-24T19:34:48.908943174Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.410000	0.610000	0.660000	6	0	0.000000	0.000000	3879251968	2156507136	1722744832	758132736	71475200	1089658880	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	1.170000	1.150000
1	2026-09-24T19:34:49.922621882Z	1013	2	10.500000	10.500000	5.000000	5.500000	0.000000	0.000000	89.500000	0.410000	0.610000	0.660000	1	0	4061.445489	2791.812178	3879251968	2148569088	1730682880	760459264	71475200	1095200768	0	0	0.000000	0.000000	36366.559758	206077.171961	0	15.784097	2059355.096892	92735.516587	1661.276222	568.227496	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	1.170000	1.150000
2	2026-09-24T19:34:50.923301398Z	2014	2	3.000000	3.000000	1.500000	1.500000	0.000000	0.000000	97.000000	0.410000	0.610000	0.660000	1	0	2858.057901	1648.879558	3879251968	2148794368	1730457600	760229888	71475200	1095204864	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	61870.957632	61577.157275	96.934132	95.934811	0.000000	0.000000	0.000000	0.000000	1.100000	0.000000	0.000000	0.950000	0.940000
3	2026-09-24T19:34:51.922666616Z	3013	2	0.505051	0.505051	0.505051	0.000000	0.000000	0.000000	99.494949	0.410000	0.610000	0.660000	1	0	2603.652747	1567.995332	3879251968	2148794368	1730457600	760229888	71475200	1095204864	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58394.067386	58394.067386	64.040652	64.040652	0.000000	0.000000	0.000000	0.000000	1.100000	0.000000	0.000000	0.950000	0.940000
4	2026-09-24T19:34:52.923331505Z	4014	2	1.990050	1.990050	1.990050	0.000000	0.000000	0.000000	98.009950	0.380000	0.600000	0.650000	1	0	3022.990056	1715.859149	3879251968	2148782080	1730469888	760229888	71475200	1095217152	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58266.259580	58266.259580	62.958140	62.958140	0.000000	0.000000	0.000000	0.000000	0.900000	0.000000	0.000000	0.780000	0.770000
5	2026-09-24T19:34:53.923059183Z	5014	2	2.000000	2.000000	1.500000	0.500000	0.000000	0.000000	98.000000	0.380000	0.600000	0.650000	1	0	2830.770878	1676.456534	3879251968	2148782080	1730469888	760229888	71475200	1095217152	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58320.882001	58320.882001	63.017161	63.017161	0.000000	0.000000	0.000000	0.000000	0.900000	0.000000	0.000000	0.780000	0.770000
6	2026-09-24T19:34:54.922781705Z	6013	2	5.970149	11.940299	4.477612	1.492537	5.970149	0.000000	88.059701	0.380000	0.600000	0.650000	1	2	5572.546231	2936.814887	3879251968	2148782080	1730469888	760229888	71475200	1095217152	0	0	0.000000	0.000000	376936.589726	2052665.559271	2	168.046628	67431.710479	67150.632487	123.034139	122.033861	0.000000	0.000000	0.000000	0.000000	0.730000	0.000000	0.000000	0.640000	0.630000
7	2026-09-24T19:34:55.922764521Z	7013	2	18.367347	57.142857	14.795918	3.571429	38.775510	0.000000	42.857143	0.380000	0.600000	0.650000	4	0	14499.249387	7268.125012	3879251968	2159611904	1719640064	749391872	71475200	1095225344	0	0	0.000000	0.000000	573449.863338	19927382.750983	6	880.015136	305338.251818	305338.251818	281.004833	281.004833	0.000000	0.000000	0.000000	0.000000	0.730000	0.000000	0.000000	0.640000	0.630000
8	2026-09-24T19:34:56.923518858Z	8014	2	39.285714	58.163265	34.693878	4.591837	18.877551	0.000000	41.836735	0.380000	0.600000	0.650000	7	2	9095.138482	3735.182119	3879251968	2188259328	1690992640	717651968	71475200	1098317824	0	0	0.000000	0.000000	0.000000	57047010.822283	7	463.650215	4204347.173223	4204347.173223	469.645692	469.645692	0.000000	0.000000	0.000000	0.000000	0.780000	0.000000	0.000000	5.050000	4.680000
9	2026-09-24T19:34:57.923501939Z	9014	2	51.776650	59.898477	48.223350	3.553299	8.121827	0.000000	40.101523	0.430000	0.610000	0.660000	3	1	8204.139331	2726.046296	3879251968	2220507136	1658744832	681267200	71479296	1102450688	0	0	0.000000	0.000000	4096.069564	33669691.812376	16	240.004076	4208520.473303	4208520.473303	478.008118	478.008118	0.000000	0.000000	0.000000	0.000000	0.780000	0.000000	0.000000	5.050000	4.680000
