Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
365	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	62.455648	0.171111	0.546232	0.100071	0.294442	0.015127	0.000041	0.008594	10220	28.000000	28	0	0.000000
155	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N)	23.776327	0.153396	0.323184	0.100014	0.256522	0.000253	0.000002	0.000088	0	0.000000	0	0	0.000000
120	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N)	17.516474	0.145971	0.328860	0.100152	0.232698	0.000287	0.000002	0.000147	0	0.000000	0	0	0.000000
80	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	13.594884	0.169936	0.335989	0.100798	0.277317	0.000807	0.000010	0.000721	3040	38.000000	38	0	0.000000
89	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	12.244715	0.137581	0.308078	0.100478	0.225835	0.000285	0.000003	0.000165	2029	22.797753	39	2029	22.797753
66	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	12.181716	0.184571	0.354852	0.100636	0.314639	0.000268	0.000004	0.000191	2574	39.000000	39	0	0.000000
60	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	11.200207	0.186670	0.423733	0.100127	0.333024	0.000067	0.000001	0.000002	2160	36.000000	36	0	0.000000
60	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	10.841594	0.180693	0.612436	0.100330	0.280290	0.000071	0.000001	0.000002	2100	35.000000	35	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	8.852712	8.852712	8.852712	8.852712	8.852712	0.000003	0.000003	0.000003	0	0.000000	0	0	0.000000
62	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S')	8.769037	0.141436	0.360958	0.100108	0.223750	0.000072	0.000001	0.000002	620	10.000000	10	0	0.000000
