sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-23T15:15:43.363946372Z	0	isuconquest.go.service	1	0.000000	0.000000	0.000000	0.000000	122093568	3.147355	128946176	0.000000	0.000000	4
0	2026-09-23T15:15:43.363946372Z	0	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
0	2026-09-23T15:15:43.363946372Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	1914155008	49.343509	2352525312	0.000000	0.000000	41
1	2026-09-23T15:15:44.373379634Z	1009	isuconquest.go.service	1	0.642539	0.321269	0.556154	0.086286	122732544	3.163827	128946176	182597.511115	0.000000	5
1	2026-09-23T15:15:44.373379634Z	1009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
1	2026-09-23T15:15:44.373379634Z	1009	mysql.service	1	1.149952	0.574976	1.070898	0.079153	1915219968	49.370962	2352525312	0.000000	0.000000	41
2	2026-09-23T15:15:45.374189551Z	2010	isuconquest.go.service	1	1.198329	0.599165	0.686144	0.512285	122961920	3.169739	128946176	0.000000	0.000000	5
2	2026-09-23T15:15:45.374189551Z	2010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
2	2026-09-23T15:15:45.374189551Z	2010	mysql.service	1	1.003587	0.501794	0.984003	0.019484	1915240448	49.371490	2352525312	0.000000	0.000000	41
3	2026-09-23T15:15:46.373934849Z	3009	isuconquest.go.service	1	1.060770	0.530385	1.060770	0.000000	123314176	3.178820	128946176	0.000000	0.000000	5
3	2026-09-23T15:15:46.373934849Z	3009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
3	2026-09-23T15:15:46.373934849Z	3009	mysql.service	1	0.989552	0.494776	0.928036	0.061616	1915240448	49.371490	2352525312	0.000000	0.000000	41
4	2026-09-23T15:15:47.373711593Z	4009	isuconquest.go.service	1	1.042833	0.521416	1.032931	0.009802	123453440	3.182410	128946176	0.000000	0.000000	5
4	2026-09-23T15:15:47.373711593Z	4009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
4	2026-09-23T15:15:47.373711593Z	4009	mysql.service	1	0.917305	0.458652	0.907103	0.010202	1915240448	49.371490	2352525312	0.000000	0.000000	41
5	2026-09-23T15:15:48.37345283Z	5009	isuconquest.go.service	1	1.091883	0.545941	0.000000	1.091883	123695104	3.188640	128946176	0.000000	0.000000	5
5	2026-09-23T15:15:48.37345283Z	5009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
5	2026-09-23T15:15:48.37345283Z	5009	mysql.service	1	1.011362	0.505681	0.947445	0.063917	1915240448	49.371490	2352525312	0.000000	0.000000	41
6	2026-09-23T15:15:49.374196064Z	6010	isuconquest.go.service	1	1.177725	0.588862	0.669003	0.508822	124420096	3.207329	128946176	4092.957917	0.000000	5
6	2026-09-23T15:15:49.374196064Z	6010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
6	2026-09-23T15:15:49.374196064Z	6010	mysql.service	1	1.019742	0.509871	0.954790	0.064852	1915240448	49.371490	2352525312	0.000000	0.000000	41
7	2026-09-23T15:15:50.373795021Z	7009	isuconquest.go.service	1	1.137856	0.568928	0.683374	0.454482	124641280	3.213030	128946176	0.000000	0.000000	5
7	2026-09-23T15:15:50.373795021Z	7009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
7	2026-09-23T15:15:50.373795021Z	7009	mysql.service	1	0.970389	0.485195	0.910965	0.059524	1915240448	49.371490	2352525312	0.000000	0.000000	41
8	2026-09-23T15:15:51.373425168Z	8009	isuconquest.go.service	1	1.004672	0.502336	0.915939	0.088733	124841984	3.218204	128946176	0.000000	0.000000	5
8	2026-09-23T15:15:51.373425168Z	8009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
8	2026-09-23T15:15:51.373425168Z	8009	mysql.service	1	0.957754	0.478877	0.000000	0.957654	1915240448	49.371490	2352525312	0.000000	0.000000	41
9	2026-09-23T15:15:52.374212548Z	9010	isuconquest.go.service	1	0.951151	0.475576	0.931367	0.019685	125018112	3.222744	128946176	0.000000	0.000000	5
9	2026-09-23T15:15:52.374212548Z	9010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
9	2026-09-23T15:15:52.374212548Z	9010	mysql.service	1	1.014501	0.507251	0.748910	0.265691	1915240448	49.371490	2352525312	0.000000	0.000000	41
10	2026-09-23T15:15:53.373954867Z	10010	isuconquest.go.service	1	1.070876	0.535438	0.213155	0.857721	125214720	3.227813	128946176	0.000000	0.000000	5
10	2026-09-23T15:15:53.373954867Z	10010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
10	2026-09-23T15:15:53.373954867Z	10010	mysql.service	1	0.933841	0.466920	0.834415	0.099426	1915240448	49.371490	2352525312	0.000000	0.000000	41
11	2026-09-23T15:15:54.373797728Z	11009	isuconquest.go.service	1	1.132578	0.566289	0.958951	0.173727	125251584	3.228763	128946176	0.000000	0.000000	5
11	2026-09-23T15:15:54.373797728Z	11009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
11	2026-09-23T15:15:54.373797728Z	11009	mysql.service	1	1.070168	0.535084	0.676706	0.393362	1915240448	49.371490	2352525312	0.000000	0.000000	41
12	2026-09-23T15:15:55.373427903Z	12009	isuconquest.go.service	1	0.984064	0.492032	0.833108	0.150856	125272064	3.229291	128946176	0.000000	0.000000	5
12	2026-09-23T15:15:55.373427903Z	12009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	4542464	0.117097	6594560	0.000000	0.000000	3
