sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-23T15:15:43.383963536Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.110000	0.820000	0.450000	4	0	0.000000	0.000000	3879251968	1146433536	2732818432	424198144	76357632	2400292864	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.020000	0.020000	3.010000	2.730000
1	2026-09-23T15:15:44.396559918Z	1012	2	10.396040	10.396040	4.455446	5.940594	0.000000	0.000000	89.603960	1.110000	0.820000	0.450000	1	0	3348.817022	2847.136383	3879251968	1154527232	2724724736	411078656	76357632	2405347328	0	0	0.000000	0.000000	8090.094084	0.000000	0	3.950241	1968320.285782	77470.156317	1577.133820	582.660585	0.000000	0.000000	0.000000	0.000000	0.710000	0.020000	0.020000	2.460000	2.230000
2	2026-09-23T15:15:45.39723329Z	2013	2	3.960396	3.960396	1.980198	1.980198	0.000000	0.000000	96.039604	1.110000	0.820000	0.450000	1	0	3325.760556	1885.730219	3879251968	1155813376	2723438592	409788416	76357632	2405351424	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	61430.634883	60755.089770	92.937419	88.940111	0.000000	0.000000	0.000000	0.000000	0.710000	0.020000	0.020000	2.460000	2.230000
3	2026-09-23T15:15:46.396897427Z	3012	2	2.000000	2.000000	2.000000	0.000000	0.000000	0.000000	98.000000	1.020000	0.810000	0.440000	1	0	2718.913152	1630.547623	3879251968	1155813376	2723438592	409788416	76357632	2405351424	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58867.770859	59079.842083	69.023182	69.023182	0.000000	0.000000	0.000000	0.000000	0.760000	0.010000	0.010000	2.020000	1.830000
4	2026-09-23T15:15:47.396563443Z	4012	2	1.990050	1.990050	1.492537	0.497512	0.000000	0.000000	98.009950	1.020000	0.810000	0.440000	1	0	3011.005628	1705.569633	3879251968	1155805184	2723446784	409788416	76357632	2405359616	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58323.479109	58323.479109	63.021048	63.021048	0.000000	0.000000	0.000000	0.000000	0.760000	0.010000	0.010000	2.020000	1.830000
5	2026-09-23T15:15:48.39723604Z	5013	2	3.431373	5.882353	1.960784	1.470588	2.450980	0.000000	94.117647	1.020000	0.810000	0.440000	1	0	3411.705294	2001.653692	3879251968	1155792896	2723459072	409788416	76357632	2405371904	0	0	0.000000	0.000000	0.000000	21182552.657448	0	63.956983	58264.811205	58264.811205	62.957655	62.957655	0.000000	0.000000	0.000000	0.000000	0.620000	0.010000	0.010000	1.830000	1.670000
6	2026-09-23T15:15:49.396977316Z	6013	2	1.507538	1.507538	1.005025	0.502513	0.000000	0.000000	98.492462	1.020000	0.810000	0.440000	1	0	3356.868506	1875.485235	3879251968	1155792896	2723459072	409788416	76357632	2405371904	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58319.088606	58319.088606	63.016304	63.016304	0.000000	0.000000	0.000000	0.000000	0.620000	0.010000	0.010000	1.830000	1.670000
7	2026-09-23T15:15:50.39672361Z	7012	2	2.475248	2.475248	1.485149	0.990099	0.000000	0.000000	97.524752	1.020000	0.810000	0.440000	1	0	2918.740511	1692.429385	3879251968	1155788800	2723463168	409788416	76357632	2405380096	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58318.796003	58318.796003	63.015988	63.015988	0.000000	0.000000	0.000000	0.000000	0.510000	0.010000	0.010000	1.500000	1.370000
8	2026-09-23T15:15:51.39723696Z	8013	2	13.793103	41.871921	8.866995	4.926108	28.078818	0.000000	58.128079	1.100000	0.830000	0.450000	1	1	11767.958918	6178.828099	3879251968	1134231552	2745020416	650358784	76357632	2188840960	0	0	0.000000	0.000000	212882.716657	6775401.847462	2	691.644944	73666.183465	73385.327642	155.919958	154.920472	0.000000	0.000000	0.000000	0.000000	0.510000	0.010000	0.010000	1.500000	1.370000
9	2026-09-23T15:15:52.397045698Z	9013	2	18.226601	65.024631	13.793103	4.433498	46.798030	0.000000	34.975369	1.100000	0.830000	0.450000	1	2	14336.742060	7468.428419	3879251968	1188622336	2690629632	586399744	76357632	2198409216	0	0	0.000000	0.000000	5006269.504112	20135691.172429	1	916.175229	1334666.269605	1334666.269605	342.065424	342.065424	0.000000	0.000000	0.000000	0.000000	0.600000	0.000000	0.000000	6.660000	6.190000
10	2026-09-23T15:15:53.396844334Z	10012	2	46.534653	84.653465	40.594059	5.445545	38.118812	0.495050	15.346535	1.100000	0.830000	0.450000	6	1	15810.183602	4910.988896	3879251968	1198067712	2681184256	545484800	76357632	2230026240	0	0	0.000000	0.000000	12290.474859	42877369.958724	1	864.174014	3170232.370671	3170232.370671	360.072506	360.072506	0.000000	0.000000	0.000000	0.000000	0.600000	0.000000	0.000000	6.660000	6.190000
11	2026-09-23T15:15:54.396605171Z	11012	2	54.500000	87.000000	50.000000	4.500000	32.500000	0.000000	13.000000	1.100000	0.830000	0.450000	4	1	12762.052313	4252.016959	3879251968	1197891584	2681360384	520970240	76357632	2254577664	0	0	0.000000	0.000000	12290.939636	37708602.804241	2	788.188512	4210954.138112	4210954.138112	475.113633	475.113633	0.000000	0.000000	0.000000	0.000000	1.030000	0.000000	0.000000	13.420000	11.950000
