upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	989	989	0	0	0	0	250468.000	253.254	250345.000	253.129
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	8.000	8.000	8.000	8.000
127.0.0.1:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	8.000	4.000
127.0.0.1:8080	401	NONE	2	0	0	2	0	0	62.000	31.000	60.000	30.000
127.0.0.1:8080	403	NONE	89	0	0	89	0	0	227.000	2.551	212.000	2.382
127.0.0.1:8080	404	NONE	2	0	0	2	0	0	7.000	3.500	8.000	4.000
127.0.0.1:8080	422	NONE	3	0	0	3	0	0	7.000	2.333	4.000	1.333
127.0.0.1:8080	500	NONE	1763	0	0	0	1763	0	40261.000	22.837	40304.000	22.861
127.0.0.1:8080	NONE	NONE	45	0	0	45	0	0	255653.000	5681.178	255640.000	5680.889
NONE	NONE	NONE	43	1	0	0	42	0	16.000	0.372	0.000	0.000
