Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
163	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	26.337090	0.161577	0.333220	0.100888	0.271467	0.003490	0.000021	0.003313	4564	28.000000	28	0	0.000000
45	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	7.319084	0.162646	0.315172	0.102596	0.250182	0.000051	0.000001	0.000002	1710	38.000000	38	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	6.676928	6.676928	6.676928	6.676928	6.676928	0.000004	0.000004	0.000004	0	0.000000	0	0	0.000000
40	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	6.131853	0.153296	0.327588	0.100221	0.266229	0.011402	0.000285	0.010403	1480	37.000000	37	0	0.000000
32	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	4.925817	0.153932	0.299308	0.100808	0.242156	0.000036	0.000001	0.000002	1152	36.000000	36	0	0.000000
31	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	4.789399	0.154497	0.285617	0.100496	0.250145	0.000034	0.000001	0.000002	1085	35.000000	35	0	0.000000
29	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	4.482645	0.154574	0.254241	0.106151	0.253646	0.000031	0.000001	0.000002	1131	39.000000	39	0	0.000000
23	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S')	3.148099	0.136874	0.254008	0.100456	0.203023	0.000952	0.000041	0.000925	230	10.000000	10	0	0.000000
23	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N)	3.070623	0.133505	0.189583	0.101665	0.180220	0.000026	0.000001	0.000002	0	0.000000	0	0	0.000000
