sample	timestamp	elapsed_ms	database_host	pool	role	shard	metric	value
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	max_open_connections	50.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	open_connections	2.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	in_use	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	idle	2.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	wait_count_total	72198.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	wait_duration_ms_total	1253008.250844
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	max_idle_closed_total	896.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
0	2026-09-24T17:00:56.748Z	368068	127.0.0.1	main	local	0	average_wait_ms	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	max_open_connections	50.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	open_connections	2.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	in_use	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	idle	2.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	wait_count_total	72198.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	wait_duration_ms_total	1253008.250844
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	max_idle_closed_total	896.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
1	2026-09-24T17:00:57.75Z	369070	127.0.0.1	main	local	0	average_wait_ms	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	max_open_connections	50.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	open_connections	2.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	in_use	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	idle	2.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	wait_count_total	72198.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	wait_duration_ms_total	1253008.250844
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	max_idle_closed_total	896.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
2	2026-09-24T17:00:58.749Z	370069	127.0.0.1	main	local	0	average_wait_ms	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	max_open_connections	50.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	open_connections	2.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	in_use	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	idle	2.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	wait_count_total	72198.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	wait_duration_ms_total	1253008.250844
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	max_idle_closed_total	896.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
3	2026-09-24T17:00:59.749Z	371069	127.0.0.1	main	local	0	average_wait_ms	0.000000
