sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-24T17:00:56.323736394Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.030000	0.250000	0.180000	7	0	0.000000	0.000000	3849883648	2059800576	1790083072	628953088	81960960	1265319936	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	2026-09-24T17:00:57.335840738Z	1012	2	14.851485	14.851485	8.415842	6.435644	0.000000	0.000000	85.148515	0.030000	0.250000	0.170000	1	0	4520.284912	3861.261953	3849883648	2049765376	1800118272	629469184	81960960	1274769408	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	3875517.400333	114386.427222	2963.133213	1042.382641	0.000000	0.000000	0.000000	0.000000	0.900000	0.000000	0.000000	0.000000	0.000000
2	2026-09-24T17:00:58.336656725Z	2012	2	3.482587	3.482587	1.492537	1.990050	0.000000	0.000000	96.517413	0.030000	0.250000	0.170000	1	0	2941.599699	1745.575636	3849883648	2051051520	1798832128	628178944	81960960	1274773504	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	61370.922248	60879.323385	91.924991	90.925806	0.000000	0.000000	0.000000	0.000000	0.900000	0.000000	0.000000	0.000000	0.000000
3	2026-09-24T17:00:59.335886422Z	3012	2	2.487562	2.487562	1.990050	0.497512	0.000000	0.000000	97.512438	0.030000	0.250000	0.170000	3	0	3011.319629	1681.295107	3849883648	2051051520	1798832128	628178944	81960960	1274773504	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58349.947139	58349.947139	63.048566	63.048566	0.000000	0.000000	0.000000	0.000000	0.740000	0.000000	0.000000	0.000000	0.000000
4	2026-09-24T17:01:00.336334133Z	4012	2	1.507538	1.507538	1.005025	0.502513	0.000000	0.000000	98.492462	0.030000	0.250000	0.170000	1	0	2647.814555	1569.297415	3849883648	2051043328	1798840320	628178944	81960960	1274781696	0	0	0.000000	0.000000	0.000000	118730.843370	0	7.996420	58330.884855	58330.884855	63.971360	63.971360	0.000000	0.000000	0.000000	0.000000	0.740000	0.000000	0.000000	0.000000	0.000000
5	2026-09-24T17:01:01.336142466Z	5012	2	2.487562	2.487562	0.995025	1.492537	0.000000	0.000000	97.512438	0.030000	0.250000	0.170000	1	0	3181.609791	1816.348123	3849883648	2051039232	1798844416	628178944	81960960	1274785792	0	0	0.000000	0.000000	0.000000	16387.140776	0	4.000767	58316.176937	58316.176937	63.012077	63.012077	0.000000	0.000000	0.000000	0.000000	0.600000	0.000000	0.000000	0.000000	0.000000
6	2026-09-24T17:01:02.335945859Z	6012	2	2.000000	2.000000	2.000000	0.000000	0.000000	0.000000	98.000000	0.110000	0.260000	0.180000	1	0	2839.558266	1654.325245	3849883648	2051039232	1798844416	628178944	81960960	1274785792	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58316.465192	58316.465192	63.012388	63.012388	0.000000	0.000000	0.000000	0.000000	0.600000	0.000000	0.000000	0.000000	0.000000
7	2026-09-24T17:01:03.336766954Z	7013	2	1.500000	1.500000	0.500000	1.000000	0.000000	0.000000	98.500000	0.110000	0.260000	0.180000	1	0	2804.697077	1684.616770	3849883648	2051035136	1798848512	628178944	81960960	1274789888	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58257.165333	58257.165333	62.948313	62.948313	0.000000	0.000000	0.000000	0.000000	0.490000	0.000000	0.000000	0.000000	0.000000
8	2026-09-24T17:01:04.336629395Z	8012	2	2.487562	2.487562	1.492537	0.995025	0.000000	0.000000	97.512438	0.110000	0.260000	0.180000	1	0	2612.359361	1522.209398	3849883648	2051289088	1798594560	627920896	81960960	1274798080	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58313.021656	58313.021656	63.008668	63.008668	0.000000	0.000000	0.000000	0.000000	0.490000	0.000000	0.000000	0.000000	0.000000
9	2026-09-24T17:01:05.335888045Z	9012	2	1.507538	1.507538	1.005025	0.502513	0.000000	0.000000	98.492462	0.110000	0.260000	0.180000	1	0	2766.050612	1612.195201	3849883648	2051276800	1798606848	627920896	81960960	1274806272	0	0	0.000000	0.000000	0.000000	32792.310579	0	8.005935	58348.256480	58348.256480	63.046740	63.046740	0.000000	0.000000	0.000000	0.000000	0.400000	0.000000	0.000000	0.000000	0.000000
10	2026-09-24T17:01:06.336686193Z	10012	2	2.000000	2.000000	1.000000	1.000000	0.000000	0.000000	98.000000	0.110000	0.260000	0.180000	1	0	2984.617833	1741.609938	3849883648	2051530752	1798352896	627662848	81960960	1274810368	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58258.501094	58258.501094	62.949757	62.949757	0.000000	0.000000	0.000000	0.000000	0.400000	0.000000	0.000000	0.000000	0.000000
11	2026-09-24T17:01:07.336487132Z	11012	2	1.500000	1.500000	1.000000	0.500000	0.000000	0.000000	98.500000	0.100000	0.250000	0.180000	1	0	2902.577790	1645.327521	3849883648	2051776512	1798107136	627404800	81960960	1274822656	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	60276.998800	60276.998800	69.013738	69.013738	0.000000	0.000000	0.000000	0.000000	0.330000	0.000000	0.000000	0.000000	0.000000
12	2026-09-24T17:01:08.336278977Z	12012	2	2.487562	2.487562	1.990050	0.497512	0.000000	0.000000	97.512438	0.100000	0.250000	0.180000	1	0	2964.617138	1746.363537	3849883648	2051776512	1798107136	627404800	81960960	1274826752	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58317.139762	58317.139762	63.013117	63.013117	0.000000	0.000000	0.000000	0.000000	0.330000	0.000000	0.000000	0.000000	0.000000
13	2026-09-24T17:01:09.336091924Z	13012	2	1.507538	1.507538	1.005025	0.000000	0.000000	0.502513	98.492462	0.100000	0.250000	0.180000	1	0	3073.574872	1767.330556	3849883648	2052026368	1797857280	627146752	81960960	1274830848	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58315.907232	58315.907232	63.011786	63.011786	0.000000	0.000000	0.000000	0.000000	0.270000	0.000000	0.000000	0.000000	0.000000
14	2026-09-24T17:01:10.335846538Z	14012	2	2.000000	2.000000	1.500000	0.500000	0.000000	0.000000	98.000000	0.100000	0.250000	0.180000	1	0	3116.764817	1787.438616	3849883648	2052284416	1797599232	626888704	81960960	1274834944	0	0	0.000000	0.000000	0.000000	16388.021424	0	8.001964	58319.310859	58319.310859	63.015463	63.015463	0.000000	0.000000	0.000000	0.000000	0.270000	0.000000	0.000000	0.000000	0.000000
15	2026-09-24T17:01:11.336659384Z	15012	2	2.000000	2.000000	1.500000	0.500000	0.000000	0.000000	98.000000	0.100000	0.250000	0.180000	1	0	2854.679588	1683.631469	3849883648	2052272128	1797611520	626888704	81960960	1274843136	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58257.645564	58257.645564	62.948832	62.948832	0.000000	0.000000	0.000000	0.000000	0.220000	0.000000	0.000000	0.000000	0.000000
16	2026-09-24T17:01:12.335887925Z	16012	2	2.955665	3.448276	1.477833	1.477833	0.492611	0.000000	96.551724	0.090000	0.250000	0.180000	1	0	3114.402681	1782.375056	3849883648	2052530176	1797353472	626630656	81960960	1274843136	0	0	0.000000	0.000000	0.000000	139371.521505	0	4.003088	58558.176110	58558.176110	67.051729	67.051729	0.000000	0.000000	0.000000	0.000000	0.220000	0.000000	0.000000	0.000000	0.000000
17	2026-09-24T17:01:13.33665113Z	17012	2	1.990050	1.990050	1.492537	0.497512	0.000000	0.000000	98.009950	0.090000	0.250000	0.180000	1	0	3030.686931	1763.653951	3849883648	2052788224	1797095424	626372608	81960960	1274847232	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58260.534628	58260.534628	62.951954	62.951954	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
18	2026-09-24T17:01:14.33638853Z	18012	2	2.000000	2.000000	2.000000	0.000000	0.000000	0.000000	98.000000	0.090000	0.250000	0.180000	1	0	2971.780384	1712.449686	3849883648	2052780032	1797103616	626372608	81960960	1274851328	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58424.342115	58452.349470	65.017073	65.017073	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
19	2026-09-24T17:01:15.336151123Z	19012	2	1.507538	1.507538	1.507538	0.000000	0.000000	0.000000	98.492462	0.090000	0.250000	0.180000	1	0	3038.721411	1758.417459	3849883648	2052767744	1797115904	626372608	81960960	1274867712	0	0	0.000000	0.000000	0.000000	16387.890584	0	8.001900	58318.845244	58318.845244	63.014960	63.014960	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	0.000000	0.000000
