sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-24T23:23:29.745387174Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.370000	0.820000	0.390000	4	0	0.000000	0.000000	3879251968	2290237440	1589014528	511877120	70221824	1195610112	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.360000	0.000000	0.000000	2.510000	2.510000
1	2026-09-24T23:23:30.754704984Z	1009	2	10.606061	11.616162	4.545455	6.060606	1.010101	0.000000	88.383838	1.370000	0.820000	0.390000	1	0	3692.593126	2816.754027	3879251968	2299957248	1579294720	494387200	70221824	1203302400	0	0	0.000000	0.000000	304363.994735	969906.596555	0	55.483020	2935805.725921	90820.749692	2174.736225	774.780742	0.000000	0.000000	0.000000	0.000000	0.360000	0.000000	0.000000	2.510000	2.510000
2	2026-09-24T23:23:31.755439146Z	2010	2	2.010050	3.015075	1.005025	1.005025	1.005025	0.000000	96.984925	1.370000	0.820000	0.390000	2	0	3294.581244	1917.592177	3879251968	2302763008	1576488960	491577344	70221824	1203306496	0	0	0.000000	0.000000	0.000000	912737.902516	0	27.979459	62027.461795	61657.733235	100.925904	97.928105	0.000000	0.000000	0.000000	0.000000	0.650000	0.000000	0.000000	2.240000	2.050000
3	2026-09-24T23:23:32.755117426Z	3009	2	0.507614	1.522843	0.507614	0.000000	1.015228	0.000000	98.477157	1.370000	0.820000	0.390000	1	0	2844.915269	1620.521356	3879251968	2302763008	1576488960	491577344	70221824	1203306496	0	0	0.000000	0.000000	0.000000	913701.957107	0	32.010298	58323.763980	58389.785220	63.020275	64.020597	0.000000	0.000000	0.000000	0.000000	0.650000	0.000000	0.000000	2.240000	2.050000
4	2026-09-24T23:23:33.754879607Z	4009	2	1.005025	1.507538	0.502513	0.502513	0.502513	0.000000	98.492462	1.370000	0.820000	0.390000	1	0	2778.660821	1624.386312	3879251968	2302750720	1576501248	491577344	70221824	1203318784	0	0	0.000000	0.000000	0.000000	475249.023723	0	24.005709	58370.881763	58370.881763	64.015224	64.015224	0.000000	0.000000	0.000000	0.000000	0.530000	0.000000	0.000000	1.830000	1.680000
5	2026-09-24T23:23:34.755591606Z	5010	2	0.000000	2.538071	0.000000	0.000000	2.538071	0.000000	97.461929	1.260000	0.810000	0.380000	1	0	3242.691201	1902.645315	3879251968	2302746624	1576505344	491577344	70225920	1203318784	0	0	0.000000	0.000000	4093.085719	20469521.680094	0	67.951618	58263.516318	58263.516318	62.955176	62.955176	0.000000	0.000000	0.000000	0.000000	0.530000	0.000000	0.000000	1.830000	1.680000
6	2026-09-24T23:23:35.755194763Z	6009	2	0.505051	0.505051	0.505051	0.000000	0.000000	0.000000	99.494949	1.260000	0.810000	0.380000	2	0	2688.066738	1632.647903	3879251968	2302746624	1576505344	491577344	70225920	1203318784	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58276.126415	58276.126415	62.024614	62.024614	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.000000	1.680000	1.560000
7	2026-09-24T23:23:36.754934236Z	7009	2	1.005025	1.005025	1.005025	0.000000	0.000000	0.000000	98.994975	1.260000	0.810000	0.380000	1	0	2665.694496	1524.397153	3879251968	2302738432	1576513536	491577344	70225920	1203326976	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58372.207770	58372.207770	64.016678	64.016678	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.000000	1.680000	1.560000
8	2026-09-24T23:23:37.75566526Z	8010	2	14.210526	49.473684	13.157895	1.052632	35.263158	0.000000	50.526316	1.260000	0.810000	0.380000	1	2	14567.350917	7190.743394	3879251968	2304798720	1574453248	489512960	70225920	1203331072	0	0	0.000000	0.000000	1702691.291801	11873815.955565	2	783.427296	83804.736726	84399.302085	205.849519	208.847328	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	3.190000	2.900000
9	2026-09-24T23:23:38.754754224Z	9009	2	35.051546	58.247423	29.896907	5.154639	23.195876	0.000000	41.752577	1.260000	0.810000	0.380000	1	3	10656.708635	4393.002179	3879251968	2399182848	1480069120	393060352	70225920	1205399552	0	0	0.000000	0.000000	0.000000	38947482.519737	9	564.514292	3404310.445967	3404310.445967	512.466875	512.466875	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	3.190000	2.900000
10	2026-09-24T23:23:39.755365946Z	10009	2	49.489796	62.755102	43.367347	6.122449	13.265306	0.000000	37.244898	1.400000	0.850000	0.400000	6	1	7702.288348	3356.946485	3879251968	2371891200	1507360768	415203328	70230016	1210544128	0	0	0.000000	0.000000	4093.495923	35150849.487201	4	319.804369	5241739.517860	5241739.517860	564.654589	564.654589	0.000000	0.000000	0.000000	0.000000	0.800000	0.000000	0.000000	6.770000	6.180000
