sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-25T04:30:16.93868814Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040000	0.010000	0.000000	6	0	0.000000	0.000000	3879243776	2758586368	1120657408	536084480	68788224	709935104	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010000	0.000000	0.000000	0.140000	0.130000
1	2026-09-25T04:30:17.948708386Z	1010	2	10.344828	10.344828	7.389163	2.955665	0.000000	0.000000	89.655172	0.040000	0.010000	0.000000	1	0	3328.646832	3839.527786	3879243776	2754887680	1124356096	529633280	68788224	719962112	0	0	0.000000	0.000000	52719.746140	0.000000	0	3.960317	4093507.895335	88417.057722	2948.456355	1073.246034	0.000000	0.000000	0.000000	0.000000	0.190000	0.000000	0.000000	0.110000	0.110000
2	2026-09-25T04:30:18.94837829Z	2009	2	5.472637	5.472637	2.985075	2.487562	0.000000	0.000000	94.527363	0.040000	0.010000	0.000000	1	0	3157.042133	1852.611543	3879243776	2757914624	1121329152	526565376	68788224	720003072	0	0	0.000000	0.000000	36876.172751	0.000000	0	4.001321	64923.431095	63843.074471	131.043257	126.041606	0.000000	0.000000	0.000000	0.000000	0.190000	0.000000	0.000000	0.110000	0.110000
3	2026-09-25T04:30:19.947976464Z	3009	2	2.512563	2.512563	1.507538	1.005025	0.000000	0.000000	97.487437	0.040000	0.010000	0.000000	1	0	2824.134819	1635.657255	3879243776	2758946816	1120296960	525533184	68788224	720003072	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	61421.681013	60863.456702	92.036983	90.036179	0.000000	0.000000	0.000000	0.000000	0.340000	0.000000	0.000000	0.090000	0.090000
4	2026-09-25T04:30:20.947992695Z	4009	2	2.000000	2.500000	1.000000	1.000000	0.500000	0.000000	97.500000	0.040000	0.010000	0.000000	1	0	2829.954076	1717.972121	3879243776	2759430144	1119813632	525045760	68788224	720007168	0	0	0.000000	0.000000	0.000000	794611.105051	0	27.999546	58356.052998	58356.052998	63.998961	63.998961	0.000000	0.000000	0.000000	0.000000	0.340000	0.000000	0.000000	0.090000	0.090000
5	2026-09-25T04:30:21.947990974Z	5009	2	2.475248	3.465347	1.485149	0.990099	0.990099	0.000000	96.534653	0.040000	0.010000	0.000000	1	0	2818.004833	1713.002938	3879243776	2759421952	1119821824	525045760	68788224	720015360	0	0	0.000000	0.000000	0.000000	19509281.458418	0	24.000041	58305.099993	58305.099993	63.000108	63.000108	0.000000	0.000000	0.000000	0.000000	0.270000	0.000000	0.000000	0.250000	0.250000
6	2026-09-25T04:30:22.947989564Z	6009	2	1.500000	1.500000	1.000000	0.500000	0.000000	0.000000	98.500000	0.040000	0.010000	0.000000	1	0	2874.004047	1677.002361	3879243776	2759421952	1119821824	525045760	68788224	720019456	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58305.082094	58305.082094	63.000089	63.000089	0.000000	0.000000	0.000000	0.000000	0.270000	0.000000	0.000000	0.250000	0.250000
7	2026-09-25T04:30:23.948744217Z	7010	2	1.010101	1.010101	1.010101	0.000000	0.000000	0.000000	98.989899	0.040000	0.010000	0.000000	1	0	3038.706800	1816.629057	3879243776	2759417856	1119825920	525045760	68788224	720019456	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58261.032554	58261.032554	62.952492	62.952492	0.000000	0.000000	0.000000	0.000000	0.220000	0.000000	0.000000	0.210000	0.200000
8	2026-09-25T04:30:24.948956839Z	8010	2	16.410256	42.051282	13.333333	3.076923	25.641026	0.000000	57.948718	0.360000	0.080000	0.020000	2	2	13956.032794	6856.542224	3879243776	2760257536	1118986240	523755520	68919296	720453632	0	0	0.000000	0.000000	339895.734428	12576142.173836	2	647.862257	77212.583755	77118.603737	170.963651	169.963864	0.000000	0.000000	0.000000	0.000000	0.220000	0.000000	0.000000	0.210000	0.200000
9	2026-09-25T04:30:25.947998023Z	9009	2	27.586207	58.620690	23.152709	4.433498	31.034483	0.000000	41.379310	0.360000	0.080000	0.020000	2	1	10908.459172	5203.989653	3879243776	2839449600	1039794176	424923136	68972544	740057088	0	0	0.000000	0.000000	13406774.589765	28916813.817006	1	792.760109	2371723.038882	2371723.038882	440.422283	440.422283	0.000000	0.000000	0.000000	0.000000	0.360000	0.000000	0.000000	4.150000	3.970000
