sample	timestamp	elapsed_ms	captured_waits	capture_error	wait_key	requesting_trx_id	blocking_trx_id	object_schema	object_table	object_index	request_lock_type	request_lock_mode	request_lock_data	blocking_lock_type	blocking_lock_mode	blocking_lock_data	requesting_thread_id	requesting_processlist_id	requesting_sql	blocking_thread_id	blocking_processlist_id	blocking_sql
0	2026-09-25T04:30:17.755772574Z	0	0																			
1	2026-09-25T04:30:17.807223881Z	51	0																			
2	2026-09-25T04:30:17.857916847Z	102	0																			
3	2026-09-25T04:30:17.907566536Z	151	0																			
4	2026-09-25T04:30:17.957222358Z	201	0																			
5	2026-09-25T04:30:18.007724921Z	251	0																			
6	2026-09-25T04:30:18.057278322Z	301	0																			
7	2026-09-25T04:30:18.107871867Z	352	0																			
8	2026-09-25T04:30:18.157435149Z	401	0																			
9	2026-09-25T04:30:18.207902687Z	452	0																			
10	2026-09-25T04:30:18.257424206Z	501	0																			
11	2026-09-25T04:30:18.308021002Z	552	0																			
12	2026-09-25T04:30:18.357538445Z	601	0																			
13	2026-09-25T04:30:18.408069724Z	652	0																			
14	2026-09-25T04:30:18.457497216Z	701	0																			
15	2026-09-25T04:30:18.508027191Z	752	0																			
16	2026-09-25T04:30:18.557544594Z	801	0																			
17	2026-09-25T04:30:18.60803768Z	852	0																			
18	2026-09-25T04:30:18.657485831Z	901	0																			
19	2026-09-25T04:30:18.708020824Z	952	0																			
20	2026-09-25T04:30:18.757576069Z	1001	0																			
21	2026-09-25T04:30:18.808113873Z	1052	0																			
22	2026-09-25T04:30:18.857635485Z	1101	0																			
23	2026-09-25T04:30:18.907189374Z	1151	0																			
24	2026-09-25T04:30:18.957708548Z	1201	0																			
25	2026-09-25T04:30:19.007278758Z	1251	0																			
26	2026-09-25T04:30:19.057813099Z	1302	0																			
27	2026-09-25T04:30:19.107348149Z	1351	0																			
28	2026-09-25T04:30:19.157812126Z	1402	0																			
29	2026-09-25T04:30:19.207346076Z	1451	0																			
30	2026-09-25T04:30:19.257901371Z	1502	0																			
31	2026-09-25T04:30:19.307424493Z	1551	0																			
32	2026-09-25T04:30:19.357997485Z	1602	0																			
33	2026-09-25T04:30:19.407656727Z	1651	0																			
34	2026-09-25T04:30:19.457276402Z	1701	0																			
35	2026-09-25T04:30:19.507870019Z	1752	0																			
36	2026-09-25T04:30:19.557430023Z	1801	0																			
37	2026-09-25T04:30:19.608003227Z	1852	0																			
38	2026-09-25T04:30:19.657552526Z	1901	0																			
39	2026-09-25T04:30:19.70803884Z	1952	0																			
40	2026-09-25T04:30:19.757513498Z	2001	0																			
41	2026-09-25T04:30:19.808048076Z	2052	0																			
42	2026-09-25T04:30:19.85757257Z	2101	0																			
43	2026-09-25T04:30:19.908114831Z	2152	0																			
44	2026-09-25T04:30:19.957687768Z	2201	0																			
45	2026-09-25T04:30:20.007248692Z	2251	0																			
46	2026-09-25T04:30:20.057798701Z	2302	0																			
47	2026-09-25T04:30:20.107284347Z	2351	0																			
48	2026-09-25T04:30:20.157743835Z	2401	0																			
49	2026-09-25T04:30:20.207274112Z	2451	0																			
50	2026-09-25T04:30:20.257731101Z	2501	0																			
51	2026-09-25T04:30:20.30724152Z	2551	0																			
52	2026-09-25T04:30:20.357793518Z	2602	0																			
