sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-25T04:30:16.833064694Z	0	isuconquest.go.service	1	0.000000	0.000000	0.000000	0.000000	445952000	11.583519	446087168	0.000000	0.000000	7
0	2026-09-25T04:30:16.833064694Z	0	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
0	2026-09-25T04:30:16.833064694Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	1997910016	51.895335	2573426688	0.000000	0.000000	63
1	2026-09-25T04:30:17.845124834Z	1012	isuconquest.go.service	1	0.131810	0.065905	0.123807	0.008003	445968384	11.583944	446087168	0.000000	0.000000	7
1	2026-09-25T04:30:17.845124834Z	1012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
1	2026-09-25T04:30:17.845124834Z	1012	mysql.service	1	0.898168	0.449084	0.898168	0.000000	1997934592	51.895973	2573426688	0.000000	0.000000	63
2	2026-09-25T04:30:18.845308862Z	2012	isuconquest.go.service	1	1.277465	0.638732	1.272166	0.005399	446414848	11.595541	446648320	0.000000	0.000000	8
2	2026-09-25T04:30:18.845308862Z	2012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
2	2026-09-25T04:30:18.845308862Z	2012	mysql.service	1	1.153288	0.576644	1.149888	0.003399	1997934592	51.895973	2573426688	0.000000	0.000000	63
3	2026-09-25T04:30:19.845394381Z	3012	isuconquest.go.service	1	1.226995	0.613498	1.200597	0.026298	446820352	11.606074	446926848	0.000000	0.000000	8
3	2026-09-25T04:30:19.845394381Z	3012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
3	2026-09-25T04:30:19.845394381Z	3012	mysql.service	1	1.129403	0.564702	1.129403	0.000000	1997934592	51.895973	2573426688	0.000000	0.000000	63
4	2026-09-25T04:30:20.845445021Z	4012	isuconquest.go.service	1	1.196839	0.598420	0.427478	0.769361	447090688	11.613096	447176704	0.000000	0.000000	8
4	2026-09-25T04:30:20.845445021Z	4012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
4	2026-09-25T04:30:20.845445021Z	4012	mysql.service	1	1.085045	0.542523	1.085045	0.000000	1997934592	51.895973	2573426688	0.000000	0.000000	63
5	2026-09-25T04:30:21.845184132Z	5012	isuconquest.go.service	1	1.141498	0.570749	1.119892	0.021706	447361024	11.620118	447479808	0.000000	0.000000	8
5	2026-09-25T04:30:21.845184132Z	5012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
5	2026-09-25T04:30:21.845184132Z	5012	mysql.service	1	0.956350	0.478175	0.956249	0.000000	1997934592	51.895973	2573426688	0.000000	4097.068888	63
6	2026-09-25T04:30:22.845447245Z	6012	isuconquest.go.service	1	1.159395	0.579697	1.136701	0.022594	447500288	11.623735	447713280	0.000000	0.000000	8
6	2026-09-25T04:30:22.845447245Z	6012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
6	2026-09-25T04:30:22.845447245Z	6012	mysql.service	1	0.883767	0.441884	0.883767	0.000000	1997934592	51.895973	2573426688	0.000000	0.000000	63
7	2026-09-25T04:30:23.845444772Z	7012	isuconquest.go.service	1	1.191203	0.595601	1.166703	0.024600	447897600	11.634055	448004096	0.000000	0.000000	8
7	2026-09-25T04:30:23.845444772Z	7012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
7	2026-09-25T04:30:23.845444772Z	7012	mysql.service	1	1.057703	0.528851	0.577001	0.480701	1997934592	51.895973	2573426688	0.000000	0.000000	63
8	2026-09-25T04:30:24.845449292Z	8012	isuconquest.go.service	1	2.833587	1.416794	1.265994	1.567593	451047424	11.715872	451284992	110591.500016	0.000000	12
8	2026-09-25T04:30:24.845449292Z	8012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
8	2026-09-25T04:30:24.845449292Z	8012	mysql.service	1	27.249277	13.624638	26.246981	1.002395	1998548992	51.911932	2573426688	851964.148270	2899954.889304	63
9	2026-09-25T04:30:25.845288717Z	9012	isuconquest.go.service	1	7.244163	3.622082	3.750002	3.494061	486207488	12.629148	486412288	16874133.530243	0.000000	12
9	2026-09-25T04:30:25.845288717Z	9012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
9	2026-09-25T04:30:25.845288717Z	9012	mysql.service	1	34.224095	17.112048	27.929685	6.294311	2014208000	52.318672	2573426688	114706.418754	22810190.700751	63
10	2026-09-25T04:30:26.845176392Z	10012	isuconquest.go.service	1	7.561449	3.780725	6.311809	1.249740	486506496	12.636914	486744064	0.000000	0.000000	12
10	2026-09-25T04:30:26.845176392Z	10012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
10	2026-09-25T04:30:26.845176392Z	10012	mysql.service	1	96.481437	48.240719	83.697201	12.784236	2062475264	53.572405	2573426688	16385.840507	25525043.049410	63
11	2026-09-25T04:30:27.84515825Z	11012	isuconquest.go.service	1	7.765441	3.882720	6.280814	1.484527	486805504	12.644681	487018496	0.000000	0.000000	12
11	2026-09-25T04:30:27.84515825Z	11012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
11	2026-09-25T04:30:27.84515825Z	11012	mysql.service	1	99.508006	49.754003	93.971706	5.536400	2081034240	54.054471	2573426688	20480.371739	31965764.210586	63
12	2026-09-25T04:30:28.84525006Z	12012	isuconquest.go.service	1	7.487812	3.743906	6.638290	0.849522	487186432	12.654575	487424000	0.000000	0.000000	13
12	2026-09-25T04:30:28.84525006Z	12012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
12	2026-09-25T04:30:28.84525006Z	12012	mysql.service	1	91.347013	45.673506	78.084131	13.262882	2097332224	54.477808	2573426688	12286.871856	32560210.419160	63
13	2026-09-25T04:30:29.845158635Z	13012	isuconquest.go.service	1	8.107041	4.053521	4.557017	3.550125	501805056	13.034291	504336384	14173455.836547	0.000000	13
13	2026-09-25T04:30:29.845158635Z	13012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
13	2026-09-25T04:30:29.845158635Z	13012	mysql.service	1	85.258395	42.629197	76.343480	8.914915	2111029248	54.833586	2573426688	16385.498077	30001846.978864	63
14	2026-09-25T04:30:30.845190184Z	14012	isuconquest.go.service	1	7.655658	3.827829	7.483464	0.172095	502095872	13.041845	504336384	0.000000	0.000000	13
14	2026-09-25T04:30:30.845190184Z	14012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
14	2026-09-25T04:30:30.845190184Z	14012	mysql.service	1	96.533454	48.266727	85.048217	11.485138	2128932864	55.298629	2573426688	16383.483117	40536833.103452	63
15	2026-09-25T04:30:31.845178781Z	15012	isuconquest.go.service	1	7.752688	3.876344	6.575874	1.176913	502546432	13.053549	504336384	0.000000	0.000000	13
15	2026-09-25T04:30:31.845178781Z	15012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
15	2026-09-25T04:30:31.845178781Z	15012	mysql.service	1	90.945030	45.472515	78.999194	11.945835	2145538048	55.729945	2573426688	12288.139114	36864417.342069	63
16	2026-09-25T04:30:32.845462024Z	16012	isuconquest.go.service	1	7.802191	3.901095	6.688206	1.113985	502759424	13.059081	504336384	0.000000	0.000000	13
16	2026-09-25T04:30:32.845462024Z	16012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
16	2026-09-25T04:30:32.845462024Z	16012	mysql.service	1	90.511770	45.255885	81.460433	9.051337	2162204672	56.162858	2573426688	8189.680977	36706150.139702	63
17	2026-09-25T04:30:33.845170359Z	17012	isuconquest.go.service	1	8.865686	4.432843	8.325428	0.540258	519000064	13.480929	519266304	15614410.176944	0.000000	13
17	2026-09-25T04:30:33.845170359Z	17012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
17	2026-09-25T04:30:33.845170359Z	17012	mysql.service	1	84.750219	42.375109	74.421906	10.328312	2160459776	56.117534	2573426688	0.000000	41910207.740741	63
18	2026-09-25T04:30:34.845175135Z	18012	isuconquest.go.service	1	7.691863	3.845932	6.818067	0.873796	519380992	13.490823	519602176	0.000000	0.000000	13
18	2026-09-25T04:30:34.845175135Z	18012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
18	2026-09-25T04:30:34.845175135Z	18012	mysql.service	1	89.103275	44.551637	79.212822	9.890453	2160119808	56.108704	2573426688	0.000000	34525019.212083	63
19	2026-09-25T04:30:35.845451601Z	19012	isuconquest.go.service	1	7.851129	3.925565	7.130829	0.720201	519663616	13.498164	519892992	0.000000	0.000000	13
19	2026-09-25T04:30:35.845451601Z	19012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
19	2026-09-25T04:30:35.845451601Z	19012	mysql.service	1	94.149071	47.074535	84.910125	9.239046	2188972032	56.858135	2573426688	0.000000	38078176.602671	63
20	2026-09-25T04:30:36.845451823Z	20012	isuconquest.go.service	1	8.028998	4.014499	7.527898	0.501200	519991296	13.506676	520224768	0.000000	0.000000	13
20	2026-09-25T04:30:36.845451823Z	20012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
20	2026-09-25T04:30:36.845451823Z	20012	mysql.service	1	84.801381	42.400690	78.557282	6.243999	2177290240	56.554702	2573426688	0.000000	47517685.308521	63
21	2026-09-25T04:30:37.845450414Z	21012	isuconquest.go.service	1	6.432509	3.216255	5.962908	0.469601	520433664	13.518166	520974336	0.000000	0.000000	13
21	2026-09-25T04:30:37.845450414Z	21012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
21	2026-09-25T04:30:37.845450414Z	21012	mysql.service	1	65.642793	32.821396	58.566283	7.076510	2186928128	56.805045	2573426688	0.000000	55189581.927690	63
22	2026-09-25T04:30:38.845453075Z	22012	isuconquest.go.service	1	6.128584	3.064292	4.951187	1.177297	536670208	13.939907	536879104	16015317.319179	0.000000	13
22	2026-09-25T04:30:38.845453075Z	22012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
22	2026-09-25T04:30:38.845453075Z	22012	mysql.service	1	62.056635	31.028317	57.913746	4.142889	2200195072	57.149651	2573426688	0.000000	59850592.498171	63
23	2026-09-25T04:30:39.845454618Z	23012	isuconquest.go.service	1	9.286686	4.643343	8.479087	0.807599	537014272	13.948844	537620480	0.000000	0.000000	13
23	2026-09-25T04:30:39.845454618Z	23012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
23	2026-09-25T04:30:39.845454618Z	23012	mysql.service	1	95.759353	47.879676	83.268472	12.490981	2204151808	57.252427	2573426688	0.000000	48144309.857763	63
24	2026-09-25T04:30:40.845450496Z	24012	isuconquest.go.service	1	7.083429	3.541715	7.083529	0.000000	537456640	13.960335	537620480	0.000000	0.000000	13
24	2026-09-25T04:30:40.845450496Z	24012	nginx.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
