upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	7	7	0	0	0	0	33888.000	4841.143	33880.000	4840.000
127.0.0.1:8080	204	NONE	1	1	0	0	0	0	4.000	4.000	4.000	4.000
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	60.000	60.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
172.31.33.164:8080	200	NONE	124446	124446	0	0	0	0	222799.000	1.790	223144.000	1.793
172.31.33.164:8080	403	NONE	153	0	0	153	0	0	207.000	1.353	184.000	1.203
172.31.33.164:8080	422	NONE	22	0	0	22	0	0	135.000	6.136	144.000	6.545
172.31.36.222:8080	200	NONE	124750	124750	0	0	0	0	216205.000	1.733	215968.000	1.731
172.31.36.222:8080	403	NONE	155	0	0	155	0	0	246.000	1.587	244.000	1.574
172.31.36.222:8080	404	NONE	1	0	0	1	0	0	1.000	1.000	0.000	0.000
172.31.36.222:8080	422	NONE	24	0	0	24	0	0	91.000	3.792	104.000	4.333
172.31.36.222:8080	NONE	NONE	8	0	0	8	0	0	47.000	5.875	52.000	6.500
172.31.36.71:8080	200	NONE	125458	125458	0	0	0	0	210417.000	1.677	210236.000	1.676
172.31.36.71:8080	400	NONE	2	0	0	2	0	0	1.000	0.500	0.000	0.000
172.31.36.71:8080	401	NONE	1	0	0	1	0	0	6.000	6.000	4.000	4.000
172.31.36.71:8080	403	NONE	147	0	0	147	0	0	199.000	1.354	212.000	1.442
172.31.36.71:8080	422	NONE	24	0	0	24	0	0	123.000	5.125	120.000	5.000
172.31.36.71:8080	NONE	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
172.31.45.54:8080	200	NONE	124330	124330	0	0	0	0	223897.000	1.801	221320.000	1.780
172.31.45.54:8080	403	NONE	192	0	0	192	0	0	250.000	1.302	260.000	1.354
172.31.45.54:8080	422	NONE	28	0	0	28	0	0	223.000	7.964	236.000	8.429
