+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| COUNT | METHOD |                 URI                  |  2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |   SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| 88011 | POST   | ^/user/[^/]+/present/receive$        | 87997 | 0   | 14  | 0   | 0.081  | 0.002  | 197.709 | 0.003  | 0.012  | 395580341.000 | 4494.669   |
| 49008 | GET    | ^/user/[^/]+/gacha/index$            | 49003 | 0   | 5   | 0   | 0.089  | 0.002  | 107.916 | 0.003  | 0.011  | 424803583.000 | 8668.046   |
| 49001 | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 48985 | 0   | 16  | 0   | 0.086  | 0.002  | 104.937 | 0.003  | 0.011  | 102422954.000 | 2090.222   |
| 39050 | POST   | /user                                | 39026 | 0   | 24  | 0   | 0.088  | 0.002  | 94.132  | 0.003  | 0.013  | 284698113.000 | 7290.605   |
| 38982 | GET    | ^/user/[^/]+/item$                   | 38979 | 0   | 3   | 0   | 0.061  | 0.002  | 78.087  | 0.003  | 0.010  | 58990869.000  | 1513.285   |
| 38944 | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 38943 | 0   | 1   | 0   | 0.086  | 0.002  | 77.406  | 0.003  | 0.009  | 12985519.000  | 333.441    |
| 38971 | POST   | ^/user/[^/]+/card$                   | 38970 | 0   | 1   | 0   | 0.049  | 0.002  | 77.036  | 0.003  | 0.010  | 8222720.000   | 210.996    |
| 88033 | GET    | ^/user/[^/]+/present/index/[^/]+$    | 88013 | 0   | 20  | 0   | 0.042  | 0.001  | 51.789  | 0.001  | 0.004  | 353959409.000 | 4020.758   |
| 10684 | POST   | /login                               | 10018 | 0   | 666 | 0   | 0.052  | 0.003  | 34.988  | 0.006  | 0.020  | 14448102.000  | 1352.312   |
| 1     | POST   | /initialize                          | 1     | 0   | 0   | 0   | 33.706 | 33.706 | 33.706  | 33.706 | 33.706 | 18.000        | 18.000     |
| 49043 | GET    | ^/user/[^/]+/home$                   | 49039 | 0   | 4   | 0   | 0.041  | 0.001  | 27.625  | 0.001  | 0.005  | 19107994.000  | 389.617    |
| 10015 | POST   | ^/user/[^/]+/reward$                 | 10011 | 0   | 4   | 0   | 0.052  | 0.002  | 23.224  | 0.004  | 0.014  | 2155416.000   | 215.219    |
| 4     | POST   | /admin/login                         | 2     | 0   | 2   | 0   | 0.085  | 0.052  | 0.208   | 0.085  | 0.085  | 433.000       | 108.250    |
| 1     | PUT    | /admin/master                        | 1     | 0   | 0   | 0   | 0.022  | 0.022  | 0.022   | 0.022  | 0.022  | 58.000        | 58.000     |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1     | 0   | 0   | 0   | 0.007  | 0.007  | 0.007   | 0.007  | 0.007  | 42058.000     | 42058.000  |
| 1     | GET    | /admin/master                        | 1     | 0   | 0   | 0   | 0.005  | 0.005  | 0.005   | 0.005  | 0.005  | 118549.000    | 118549.000 |
| 1     | DELETE | /admin/logout                        | 1     | 0   | 0   | 0   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 0.000         | 0.000      |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1     | 0   | 0   | 0   | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 178.000       | 178.000    |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
