sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T20:28:35.184360922Z	0	26	10000	3	2	4	7	0.000	34	0.000	5718	0.000	5157	0.000	90	0.000	3	0.000	1	0.000	82634636	0.000	7817682	0.000	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	269	0.000	0	0.000	0.000	4	0.000	7	0	0.000
1	2026-09-24T20:28:36.18543376Z	1001	26	10000	3	2	4	7	0.000	34	0.000	5740	21.976	5178	20.977	90	0.000	3	0.000	1	0.000	82659504	24841.349	7848933	31217.509	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	270	0.999	0	0.000	0.000	4	0.000	7	0	0.000
2	2026-09-24T20:28:37.186203838Z	2001	26	10000	3	2	4	7	0.000	34	0.000	5762	21.983	5199	20.984	90	0.000	3	0.000	1	0.000	82684372	24848.865	7880184	31226.953	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	271	0.999	0	0.000	0.000	4	0.000	7	0	0.000
3	2026-09-24T20:28:38.186258838Z	3001	26	10000	3	2	4	7	0.000	34	0.000	5784	21.999	5220	20.999	90	0.000	3	0.000	1	0.000	82709240	24866.632	7911435	31249.281	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	272	1.000	0	0.000	0.000	4	0.000	7	0	0.000
4	2026-09-24T20:28:39.18621514Z	4001	26	10000	3	2	4	7	0.000	34	0.000	5806	22.001	5241	21.001	90	0.000	3	0.000	1	0.000	82734108	24869.087	7942686	31252.366	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	273	1.000	0	0.000	0.000	4	0.000	7	0	0.000
5	2026-09-24T20:28:40.186157759Z	5001	26	10000	3	2	4	7	0.000	34	0.000	5828	22.001	5262	21.001	90	0.000	3	0.000	1	0.000	82758976	24869.427	7973937	31252.794	65536	22692	0	9540644	0.000	13854	0.000	0.000	0	0	0.000	0	0.000	0	0.000	274	1.000	0	0.000	0.000	4	0.000	7	0	0.000
6	2026-09-24T20:28:41.1863956Z	6002	26	10000	4	3	3	7	0.000	35	1.000	5866	37.991	5286	23.994	90	0.000	3	0.000	1	0.000	82784681	25698.886	8005674	31729.451	65536	22692	147	9549785	9138.826	13854	0.000	100.000	0	0	0.000	0	0.000	0	0.000	275	1.000	0	0.000	0.000	4	0.000	7	0	0.000
7	2026-09-24T20:28:42.186504666Z	7002	26	10000	4	3	3	7	0.000	36	1.000	5953	86.991	5308	21.998	93	3.000	3	0.000	1	0.000	82853273	68584.525	8037936	32258.484	65536	22601	564	9589422	39632.680	13861	6.999	99.982	0	0	0.000	0	0.000	0	0.000	276	1.000	0	0.000	0.000	4	0.000	7	0	0.000
8	2026-09-24T20:28:43.185766645Z	8001	26	10000	4	3	3	7	0.000	36	0.000	6013	60.044	5329	21.016	102	9.007	3	0.000	1	0.000	87183660	4333585.221	8070029	32116.702	65536	22202	871	9895322	306125.923	13861	0.000	100.000	0	0	0.000	0	0.000	0	0.000	277	1.001	0	0.000	0.000	4	0.000	7	0	0.000
9	2026-09-24T20:28:44.185929581Z	9001	26	10000	4	3	3	7	0.000	36	0.000	6039	25.996	5350	20.997	107	4.999	3	0.000	1	0.000	91331236	4146900.341	8101507	31472.872	65536	21712	1276	10400464	505059.710	13861	0.000	100.000	0	0	0.000	0	0.000	0	0.000	278	1.000	0	0.000	0.000	4	0.000	7	0	0.000
