schema_name	digest	count	sum_time_sec	max_time_sec	sum_lock_sec	avg_lock_sec	rows_examined	rows_sent	rows_affected	no_index_used	no_good_index_used	tmp_disk_tables	tmp_tables	sort_merge_passes	errors	digest_text
isucon	11f4488346bc86107ff93e1f1ee34fbcdef8809e574b6120415243728099afd3	1765	2.258799	0.089833	0.018584	0.000010529	9768	4884	0	0	0	0	0	0	0	SELECT * FROM `user_login_bonuses` WHERE `user_id` = ? ORDER BY `id`
isucon	aac399b32dbff1f3dc810610ef67f909fcab4e4c1f4398f81570a1b5a37f7d65	2941	2.04752	0.047052	0.01027	0.000003492	0	0	2941	0	0	0	0	0	0	INSERT INTO `user_session_current` ( `user_id` , `session_id` ) VALUES (...)
isucon	1dc2d59d0f2c18a16dc89f4d860e434dac5343d68ddd28a1e914ebea29e2958a	1765	2.026673	0.058345	0.010771	0.000006103	5260	2630	0	0	0	0	0	0	0	SELECT * FROM `user_devices` WHERE `user_id` = ? ORDER BY `id`
isucon	88066ba680068fb74bc35bab6f28610c1e3fa816165a192dcdb03b9ca278c3df	2957	1.760674	0.042969	0.013974	0.000004726	16	0	16	0	0	0	0	0	0	UPDATE `user_session_current` SET `session_id` = ? WHERE `user_id` = ?
isucon	1d45962d8af40b4191d96d51fdd3109bf8ad6b2a5c31e820a3b3adaf664e6acf	1765	1.758544	0.026345	0.014235	0.000008065	3256	1628	0	0	0	0	0	0	0	SELECT * FROM `user_decks` WHERE `user_id` = ? ORDER BY `id`
isucon	22f20a4de577cf05f1b1a2479ce4100d806e3e6629915bec584cbff611813ebc	8	1.677483	0.367331	0	0	0	0	133932	0	0	0	0	0	0	INSERT INTO `user_items` VALUES (...) /* , ... */
isucon	d00f67fb8cb2792396352fe24a033353d2983db8d345ca861b621b98d86d9cc5	1765	1.556988	0.028816	0.013359	0.000007569	0	0	0	0	0	0	0	0	0	SELECT `c` . `revision` , `c` . `payload` , `i` . `payload` , `b` . `payload` FROM `user_state_core` `c` JOIN `user_state_inventory` `i` USING ( `user_id` ) JOIN `user_state_inbox` `b` USING ( `user_id` ) WHERE `c` . `user_id` = ?
isucon	2f5a4d6d0e243de075c87b1b96ff83a334ac8a9f0fa0293f64e206f91d264c78	1765	1.419372	0.038941	0.008772	0.00000497	1902	1765	0	0	0	0	0	0	0	SELECT EXISTS ( SELECT ? FROM `user_bans` WHERE `user_id` = ? )
isucon	b57cf422fbfb5629759554d7a60a31947a2333a6e1b55d7dce60a94aa1eed044	3641	0.791851	0.073655	0	0	0	0	0	0	0	0	0	0	0	START TRANSACTION
isucon	e0ad46d8667ecf959dad47550195ea4565af3b7a7822e86b0e2b214276bac80b	1527	0.620464	0.029144	0.00316	0.000002069	0	0	1527	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? )
isucon	2cf91dfc40dea815897c47d31c13c9e090db86af8c29271fd79139e419d96759	2	0.518953	0.381927	0	0	0	0	30996	0	0	0	0	0	0	INSERT INTO `user_login_bonuses` VALUES (...) /* , ... */
isucon	4cf0955e5e8d2439dc8cd1349f2d24c131af32e99887e9d001e883e87aa4cce6	2	0.518552	0.419235	0	0	0	0	20372	0	0	0	0	0	0	INSERT INTO `user_devices` VALUES (...) /* , ... */
isucon	a4b23e1c67fe024564e9e00d893d72f1c6e7b7d20ee5c4ec0695caa563102085	700	0.491741	0.021025	0.001708	0.00000244	0	0	1400	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `payload` ) VALUES ( ?, ... , (_charset) ? ) , ( ?, ... , (_charset) ? )
	b0a2105f85f781a2af3593f66431f1528f14f14566499839ea27e23911fb9a5a	266	0.420465	0.032808	0.000383	0.00000144	6916	6916	0	266	0	0	266	0	0	SHOW GLOBAL STATUS WHERE `Variable_name` IN (...)
