+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| COUNT | METHOD |                 URI                  |  2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM   |  P90   |  P99   |   SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
| 14952 | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 14908 | 0   | 44  | 0   | 1.023  | 0.054  | 807.292 | 0.185  | 0.610  | 31059979.000  | 2077.313   |
| 21624 | POST   | ^/user/[^/]+/present/receive$        | 21588 | 0   | 36  | 0   | 1.128  | 0.030  | 642.237 | 0.093  | 0.319  | 102191456.000 | 4725.835   |
| 14974 | GET    | ^/user/[^/]+/gacha/index$            | 14952 | 0   | 22  | 0   | 1.375  | 0.032  | 475.454 | 0.105  | 0.332  | 129610876.000 | 8655.728   |
| 9156  | POST   | /login                               | 8366  | 0   | 790 | 0   | 1.287  | 0.049  | 449.981 | 0.157  | 0.423  | 13125680.000  | 1433.561   |
| 6608  | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 6589  | 0   | 19  | 0   | 1.009  | 0.052  | 344.002 | 0.174  | 0.620  | 2196724.000   | 332.434    |
| 21642 | GET    | ^/user/[^/]+/present/index/[^/]+$    | 21626 | 0   | 16  | 0   | 0.604  | 0.013  | 289.073 | 0.026  | 0.165  | 91468089.000  | 4226.416   |
| 8356  | POST   | ^/user/[^/]+/reward$                 | 8343  | 0   | 13  | 0   | 0.832  | 0.032  | 263.563 | 0.100  | 0.337  | 1796060.000   | 214.943    |
| 6687  | POST   | /user                                | 6680  | 0   | 7   | 0   | 0.838  | 0.031  | 208.523 | 0.095  | 0.355  | 48576464.000  | 7264.313   |
| 6596  | POST   | ^/user/[^/]+/card$                   | 6589  | 0   | 7   | 0   | 0.637  | 0.031  | 202.050 | 0.095  | 0.342  | 1390384.000   | 210.792    |
| 6616  | GET    | ^/user/[^/]+/item$                   | 6615  | 0   | 1   | 0   | 0.679  | 0.030  | 196.568 | 0.091  | 0.335  | 10037121.000  | 1517.098   |
| 15046 | GET    | ^/user/[^/]+/home$                   | 15029 | 0   | 17  | 0   | 0.752  | 0.008  | 120.307 | 0.021  | 0.055  | 5847676.000   | 388.653    |
| 1     | POST   | /initialize                          | 1     | 0   | 0   | 0   | 24.712 | 24.712 | 24.712  | 24.712 | 24.712 | 18.000        | 18.000     |
| 4     | POST   | /admin/login                         | 2     | 0   | 2   | 0   | 0.224  | 0.087  | 0.349   | 0.224  | 0.224  | 433.000       | 108.250    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1     | 0   | 0   | 0   | 0.106  | 0.106  | 0.106   | 0.106  | 0.106  | 40216.000     | 40216.000  |
| 1     | PUT    | /admin/master                        | 1     | 0   | 0   | 0   | 0.014  | 0.014  | 0.014   | 0.014  | 0.014  | 58.000        | 58.000     |
| 1     | GET    | /admin/master                        | 1     | 0   | 0   | 0   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  | 118555.000    | 118555.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1     | 0   | 0   | 0   | 0.003  | 0.003  | 0.003   | 0.003  | 0.003  | 178.000       | 178.000    |
| 1     | DELETE | /admin/logout                        | 1     | 0   | 0   | 0   | 0.002  | 0.002  | 0.002   | 0.002  | 0.002  | 0.000         | 0.000      |
+-------+--------+--------------------------------------+-------+-----+-----+-----+--------+--------+---------+--------+--------+---------------+------------+
