ingress_host	count	method	uri	2xx	3xx	4xx	5xx	max	avg	sum	p90	p99	sum_body	avg_body
isucon-1	2752	POST	^/user/[^/]+/present/receive$	2723	0	29	0	1.19	0.325	893.429	0.693	0.975	13373597	4859.592
isucon-1	2186	POST	/login	1633	0	550	3	0.989	0.243	530.4	0.554	0.817	2551465	1167.184
isucon-1	2141	POST	^/user/[^/]+/gacha/draw/[^/]+/[^/]+$	2110	0	31	0	1.008	0.188	402.194	0.449	0.702	4388450	2049.72
isucon-1	592	POST	/user	591	0	1	0	1.065	0.463	273.828	0.833	1.002	4281484	7232.236
isucon-1	2168	GET	^/user/[^/]+/gacha/index$	2140	0	28	0	0.846	0.123	266.859	0.329	0.546	18547146	8554.957
isucon-1	2761	GET	^/user/[^/]+/present/index/[^/]+$	2753	0	8	0	0.624	0.091	250.855	0.231	0.386	12088433	4378.281
isucon-1	2224	GET	^/user/[^/]+/home$	2199	0	25	0	0.587	0.076	169.727	0.21	0.369	856129	384.95
isucon-1	1610	POST	^/user/[^/]+/reward$	1607	0	3	0	0.61	0.103	166.219	0.272	0.47	345974	214.891
isucon-1	552	POST	^/user/[^/]+/card/addexp/[^/]+$	550	0	2	0	0.7	0.113	62.432	0.296	0.512	183514	332.453
isucon-1	557	GET	^/user/[^/]+/item$	553	0	4	0	0.578	0.097	53.907	0.276	0.489	843696	1514.715
isucon-1	551	POST	^/user/[^/]+/card$	551	0	0	0	0.608	0.082	44.955	0.229	0.428	116254	210.987
isucon-1	1	POST	/initialize	1	0	0	0	24.073	24.073	24.073	24.073	24.073	18	18
isucon-1	4	POST	/admin/login	2	0	2	0	0.121	0.062	0.249	0.121	0.121	433	108.25
isucon-1	1	GET	^/admin/user/[^/]+$	1	0	0	0	0.09	0.09	0.09	0.09	0.09	40672	40672
isucon-1	1	GET	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	118563	118563
isucon-1	1	PUT	/admin/master	1	0	0	0	0.005	0.005	0.005	0.005	0.005	58	58
isucon-1	1	DELETE	/admin/logout	1	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0
isucon-1	1	POST	^/admin/user/[^/]+/ban$	1	0	0	0	0	0	0	0	0	178	178
isucon-5	1	GET	/index.html	1	0	0	0	0	0	0	0	0	396	396
isucon-5	1	POST	/index.html	0	0	1	0	0	0	0	0	0	552	552
