Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
430	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	70.894975	0.164872	0.356793	0.100176	0.259243	0.027720	0.000064	0.005779	227173	528.309302	679	12115	28.174419
95	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	14.729174	0.155044	0.312816	0.101677	0.245210	0.001363	0.000014	0.001258	2660	28.000000	28	0	0.000000
17	INSERT INTO `user_sessions` (`id`,`user_id`,`session_id`,`created_at`,`updated_at`,`expired_at`) VALUES (N,N,'S',N,N,N)	4.182333	0.246020	0.474948	0.115369	0.474948	4.159136	0.244655	0.474721	0	0.000000	0	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	4.141738	4.141738	4.141738	4.141738	4.141738	0.000004	0.000004	0.000004	0	0.000000	0	0	0.000000
