ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	17417	17417	0	0	0	0	3073946.000	176.491	3073920.000	176.490
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	1.000	1.000	0.000	0.000
isucon-1	127.0.0.1:8080	400	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
isucon-1	127.0.0.1:8080	401	NONE	2	0	0	2	0	0	63.000	31.500	60.000	30.000
isucon-1	127.0.0.1:8080	403	NONE	535	0	0	535	0	0	33677.000	62.948	33672.000	62.938
isucon-1	127.0.0.1:8080	404	NONE	2	0	0	2	0	0	2.000	1.000	4.000	2.000
isucon-1	127.0.0.1:8080	422	NONE	30	0	0	30	0	0	129.000	4.300	136.000	4.533
isucon-1	127.0.0.1:8080	500	NONE	3	0	0	0	3	0	334.000	111.333	336.000	112.000
isucon-1	127.0.0.1:8080	NONE	NONE	112	0	0	112	0	0	31074.000	277.446	31132.000	277.964
isucon-5	NONE	NONE	NONE	2	1	0	1	0	0	0.000	0.000	0.000	0.000
