schema_name	digest	count	sum_time_sec	max_time_sec	sum_lock_sec	avg_lock_sec	rows_examined	rows_sent	rows_affected	no_index_used	no_good_index_used	tmp_disk_tables	tmp_tables	sort_merge_passes	errors	digest_text
isucon	392a264e95c201e507a3a410edc9628897f6127b75292468c2bef35ea654c945	8731	68.909949	0.303745	0.024066	0.000002756	3362288	1681144	0	0	0	0	0	0	0	SELECT * FROM `user_presents` WHERE `user_id` = ? AND `id` <= ? ORDER BY `created_at` DESC , `id` ASC
isucon	1e557a28035d8997a201f0018419ef97e772208bc8f1143174906c13012423c2	5417	13.190046	0.135491	0.008664	0.000001599	17131864	110276	0	0	0	0	0	0	0	SELECT * FROM `user_present_all_received_history` WHERE `user_id` = ? ORDER BY `id`
isucon	21a1a4a54d5ef679d521e452926caa0ae0f7a401bba29fb0defddc52aa48ec50	5418	12.65697	0.068579	0.013207	0.000002438	0	0	0	0	0	0	0	0	0	SELECT * FROM `user_presents` WHERE `user_id` = ? AND `id` > ? ORDER BY `id`
isucon	be90a4462d319c20aeaa47b0133de95bfd13f92cf41028bdf2a63f8024428ced	46	10.993967	0.550361	0	0	0	0	726153	0	0	0	0	0	0	INSERT INTO `user_cards` VALUES (...) /* , ... */
isucon	b4b99ca81bd3d804b2231ea2214f6737a68fa82bcde85c2b85aaa373aba2d933	5418	6.946221	0.035117	0.010149	0.000001873	670598	335299	0	0	0	0	0	0	0	SELECT * FROM `user_cards` WHERE `user_id` = ? ORDER BY `id`
isucon	f09e7d9e78cc124856ff165a06560768678131c600de53f3ec08b50cb8b5feb8	1199	5.637244	0.059032	0.001611	0.000001344	0	0	38368	0	0	0	0	0	0	INSERT INTO `user_state_events` ( `user_id` , `seq` , `version` , `payload` , `digest` ) VALUES ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? ) , ( ?, ... , (_charset) ? , (_charset) ? )
isucon	f2b9be5f0f32ca7507e4ddf133cd2fad0993a1c26fde9caa6f067b1af2b7603c	7316	4.740634	0.071061	0	0	0	0	0	0	0	0	0	0	0	COMMIT
isucon	aed61f7748b360f1e40964333c1d531f7ba837f227d8ecde01658c39084fbbe2	1	4.48129	4.48129	0.000002	0.000002	0	0	201303	0	0	0	0	0	0	LOAD DATA INFILE ? REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY ? IGNORE ? LINES
isucon	12cef554e6a0f22df0ac73434326b0ed323e7ed7c3fdead115bb4d4c5d2df6ec	16	2.886327	0.366214	0	0	0	0	241638	0	0	0	0	0	0	INSERT INTO `user_present_all_received_history` VALUES (...) /* , ... */
	205fc324fd03a8618ba02a8d427b6dd39274da40a88354237f1802dba78d2f37	4823	2.302458	0.008855	0.014493	0.000003005	0	0	0	4823	0	0	0	0	0	SELECT `CONCAT_WS` ( ? , `w` . `REQUESTING_ENGINE_TRANSACTION_ID` , `w` . `REQUESTING_EVENT_ID` , `w` . `REQUESTING_ENGINE_LOCK_ID` , `w` . `BLOCKING_ENGINE_TRANSACTION_ID` , `w` . `BLOCKING_EVENT_ID` , `w` . `BLOCKING_ENGINE_LOCK_ID` ) AS `wait_key` , `w` . `REQUESTING_ENGINE_TRANSACTION_ID` , `w` . `BLOCKING_ENGINE_TRANSACTION_ID` , `rl` . `OBJECT_SCHEMA` , `rl` . `OBJECT_NAME` , `rl` . `INDEX_NAME` , `rl` . `LOCK_TYPE` , `rl` . `LOCK_MODE` , `rl` . `LOCK_DATA` , `bl` . `LOCK_TYPE` , `bl` . `LOCK_MODE` , `bl` . `LOCK_DATA` , `w` . `REQUESTING_THREAD_ID` , `rt` . `PROCESSLIST_ID` , `rs` . `SQL_TEXT` , `w` . `BLOCKING_THREAD_ID` , `bt` . `PROCESSLIST_ID` , `bs` . `SQL_TEXT` FROM `performance_schema` . `data_lock_waits` AS `w` JOIN `performance_schema` . `data_locks` AS `rl` ON `rl` . `ENGINE_LOCK_ID` = `w` . `REQUESTING_ENGINE_LOCK_ID` JOIN `performance_schema` . `data_locks` AS `bl` ON `bl` . `ENGINE_LOCK_ID` = `w` . `BLOCKING_ENGINE_LOCK_ID` LEFT JOIN
