Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
109	SELECT * FROM `user_presents` WHERE `user_id` = N AND `id` <= N ORDER BY `created_at` DESC,`id`	17.139688	0.157245	0.293138	0.100770	0.258607	0.000480	0.000004	0.000319	114428	1049.798165	1302	57214	524.899083
66	SELECT * FROM `user_present_all_received_history` WHERE `user_id` = N ORDER BY `id`	7.489192	0.113473	0.135450	0.101512	0.125247	0.000073	0.000001	0.000002	15948108	241638.000000	241638	1588	24.060606
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	4.481260	4.481260	4.481260	4.481260	4.481260	0.000002	0.000002	0.000002	0	0.000000	0	0	0.000000
