sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-23T14:49:28.795870963Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	8	0	0.000000	0.000000	3879251968	881229824	2998022144	219652096	104456192	2842370048	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	0.000000	0.000000
1	2026-09-23T14:49:29.807574564Z	1011	2	14.975845	14.975845	7.246377	7.729469	0.000000	0.000000	85.024155	0.000000	0.000000	0.000000	1	0	4567.542989	3749.121523	3879251968	887906304	2991345664	203939840	104456192	2851446784	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	3679347.138950	115185.902326	2838.775906	1015.119379	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	0.000000	0.000000
2	2026-09-23T14:49:30.808257365Z	2012	2	3.500000	3.500000	2.000000	1.500000	0.000000	0.000000	96.500000	0.000000	0.000000	0.000000	1	0	3236.790169	1871.722132	3879251968	889192448	2990059520	202649600	104456192	2851450880	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	61913.730072	61617.932021	98.932457	96.933821	0.000000	0.000000	0.000000	0.000000	0.620000	0.000000	0.000000	0.000000	0.000000
3	2026-09-23T14:49:31.807904167Z	3012	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	2845.004850	1628.575210	3879251968	889192448	2990059520	202649600	104456192	2851450880	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58464.649597	58390.623451	65.022966	64.022613	0.000000	0.000000	0.000000	0.000000	0.620000	0.000000	0.000000	0.000000	0.000000
4	2026-09-23T14:49:32.807567839Z	4011	2	0.505051	0.505051	0.505051	0.000000	0.000000	0.000000	99.494949	0.000000	0.000000	0.000000	1	0	2642.888878	1572.528885	3879251968	889184256	2990067712	202649600	104456192	2851459072	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58375.633360	58375.633360	64.021532	64.021532	0.000000	0.000000	0.000000	0.000000	0.510000	0.000000	0.000000	0.000000	0.000000
5	2026-09-23T14:49:33.808266913Z	5012	2	1.005025	1.005025	0.502513	0.502513	0.000000	0.000000	98.994975	0.000000	0.000000	0.000000	1	0	3017.890265	1699.811702	3879251968	889180160	2990071808	202649600	104456192	2851463168	0	0	0.000000	0.000000	0.000000	188284.374912	0	11.991617	58263.269547	58263.269547	62.955989	62.955989	0.000000	0.000000	0.000000	0.000000	0.510000	0.000000	0.000000	0.000000	0.000000
6	2026-09-23T14:49:34.807627173Z	6011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	2787.783448	1637.047280	3879251968	889180160	2990071808	202649600	104456192	2851463168	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	58341.323103	58341.323103	63.040329	63.040329	0.000000	0.000000	0.000000	0.000000	0.410000	0.000000	0.000000	0.000000	0.000000
7	2026-09-23T14:49:35.808150347Z	7012	2	5.970149	17.412935	3.980100	1.990050	11.442786	0.000000	82.587065	0.000000	0.000000	0.000000	1	1	6357.673830	3454.192856	3879251968	919535616	2959716352	244584448	104517632	2779725824	0	0	0.000000	0.000000	85971.022196	2091961.540113	1	267.859863	67588.639381	67307.786316	125.934115	124.934637	0.000000	0.000000	0.000000	0.000000	0.410000	0.000000	0.000000	0.000000	0.000000
8	2026-09-23T14:49:36.808518001Z	8012	2	12.060302	59.798995	8.040201	4.020101	47.738693	0.000000	40.201005	0.000000	0.000000	0.000000	1	0	15142.431901	7898.095752	3879251968	908955648	2970296320	350654464	104804352	2685235200	0	0	0.000000	0.000000	282520.113117	19563494.209727	1	979.639772	117749.701668	117763.696522	204.924646	204.924646	0.000000	0.000000	0.000000	0.000000	0.520000	0.000000	0.000000	5.430000	5.250000
9	2026-09-23T14:49:37.807867223Z	9011	2	35.532995	75.126904	28.934010	6.598985	39.593909	0.000000	24.873096	0.000000	0.000000	0.000000	3	1	13179.577823	6227.052828	3879251968	960397312	2918854656	271720448	104964096	2712662016	0	0	0.000000	0.000000	0.000000	31322017.684634	1	796.518408	3357886.453535	3357886.453535	439.285906	439.285906	0.000000	0.000000	0.000000	0.000000	0.520000	0.000000	0.000000	5.430000	5.250000
10	2026-09-23T14:49:38.807621235Z	10011	2	51.256281	83.417085	46.231156	5.025126	32.160804	0.000000	16.582915	0.000000	0.000000	0.000000	4	0	14380.537396	4770.173391	3879251968	968765440	2910486528	237400064	105082880	2738495488	0	0	0.000000	0.000000	4097.007802	48770780.880535	0	756.186010	4209327.431408	4209327.431408	479.117856	479.117856	0.000000	0.000000	0.000000	0.000000	0.970000	0.000000	0.000000	11.690000	10.820000
11	2026-09-23T14:49:39.808374659Z	11012	2	53.030303	85.858586	47.474747	5.555556	32.828283	0.000000	14.141414	0.000000	0.000000	0.000000	6	1	15623.228803	4395.688104	3879251968	976175104	2903076864	204169216	105197568	2764152832	0	0	0.000000	0.000000	0.000000	31613684.922005	1	783.409746	3170418.273715	3170418.273715	375.716919	375.716919	0.000000	0.000000	0.000000	0.000000	0.970000	0.000000	0.000000	11.690000	10.820000
