Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
930	SELECT * FROM `user_present_all_received_history` WHERE `user_id` = N AND `present_all_id` = N	394.281822	0.423959	0.806571	0.106096	0.745417	0.001145	0.000001	0.000044	224925875	241855.779570	242009	537	0.577419
13	INSERT INTO `user_sessions` (`id`,`user_id`,`session_id`,`created_at`,`updated_at`,`expired_at`) VALUES (N,N,'S',N,N,N)	128.098223	9.853709	16.694820	1.673145	16.694820	128.085024	9.852694	16.694685	0	0.000000	0	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	26.867781	26.867781	26.867781	26.867781	26.867781	0.000001	0.000001	0.000001	0	0.000000	0	0	0.000000
1	UPDATE `user_sessions` SET `deleted_at`=N WHERE `user_id` = N AND `deleted_at` IS NULL	11.670307	11.670307	11.670307	11.670307	11.670307	11.670075	11.670075	11.670075	2	2.000000	2	0	0.000000
