Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
437	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	67.733336	0.154996	0.319867	0.100802	0.237049	0.014540	0.000033	0.004052	236767	541.800915	679	11736	26.855835
120	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	20.090861	0.167424	0.433582	0.100557	0.277811	0.003606	0.000030	0.001992	3360	28.000000	28	0	0.000000
41	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N)	5.063141	0.123491	0.214323	0.102220	0.175245	0.000042	0.000001	0.000003	0	0.000000	0	0	0.000000
23	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	3.848168	0.167312	0.314425	0.101652	0.290856	0.000024	0.000001	0.000002	897	39.000000	39	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	3.286708	3.286708	3.286708	3.286708	3.286708	0.000003	0.000003	0.000003	0	0.000000	0	0	0.000000
