sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T15:34:29.775805145Z	0	26	10000	4	2	96	1235	0.000	4738	0.000	1560036	0.000	874852	0.000	290462	0.000	337865	0.000	6	0.000	1616219592	0.000	709187666	0.000	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1074	0.000	0	0.000	0.000	122	0.000	1235	0	0.000
1	2026-09-24T15:34:30.77702006Z	1001	26	10000	4	2	96	1235	0.000	4738	0.000	1560058	21.973	874873	20.975	290462	0.000	337865	0.000	6	0.000	1616244460	24837.824	709218955	31251.033	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1075	0.999	0	0.000	0.000	122	0.000	1235	0	0.000
2	2026-09-24T15:34:31.77712585Z	2001	26	10000	4	2	96	1235	0.000	4738	0.000	1560080	21.998	874894	20.998	290462	0.000	337865	0.000	6	0.000	1616269328	24865.370	709250244	31285.691	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1076	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
3	2026-09-24T15:34:32.776932125Z	3001	26	10000	4	2	96	1235	0.000	4738	0.000	1560102	22.004	874915	21.004	290462	0.000	337865	0.000	6	0.000	1616294196	24872.818	709281533	31295.063	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1077	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
4	2026-09-24T15:34:33.777068149Z	4001	26	10000	4	2	96	1235	0.000	4738	0.000	1560124	21.997	874936	20.997	290462	0.000	337865	0.000	6	0.000	1616319064	24864.618	709312822	31284.745	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1078	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
5	2026-09-24T15:34:34.777321164Z	5001	26	10000	4	2	96	1235	0.000	4738	0.000	1560146	21.994	874957	20.995	290462	0.000	337865	0.000	6	0.000	1616343932	24861.710	709344111	31281.085	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1079	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
6	2026-09-24T15:34:35.777075271Z	6001	26	10000	4	2	96	1235	0.000	4738	0.000	1560168	22.005	874978	21.005	290462	0.000	337865	0.000	6	0.000	1616368800	24874.116	709375400	31296.696	65536	8192	0	139757852	0.000	8162	0.000	0.000	1	361	0.000	2374284	0.000	0	0.000	1080	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
7	2026-09-24T15:34:36.777437747Z	7001	26	10000	5	3	95	1235	0.000	4739	1.000	1560212	43.984	875002	23.991	290462	0.000	337865	0.000	6	0.000	1616394784	25974.585	709407241	31829.463	65536	8540	197	139780062	22201.952	8163	1.000	99.995	1	361	0.000	2374284	0.000	0	0.000	1081	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
8	2026-09-24T15:34:37.777746435Z	8001	26	10000	5	3	95	1235	0.000	4740	1.000	1560315	102.968	875024	21.993	290471	8.997	337865	0.000	6	0.000	1617675732	1280552.722	709440004	32752.890	65536	8397	486	139827472	47395.370	8194	30.990	99.935	1	361	0.000	2374284	0.000	0	0.000	1082	1.000	0	0.000	0.000	122	0.000	1235	0	0.000
9	2026-09-24T15:34:38.77841384Z	9002	26	10000	5	3	95	1235	0.000	4740	0.000	1560341	25.983	875045	20.986	290475	3.997	337865	0.000	6	0.000	1621822649	4144151.127	709471519	31493.980	65536	7943	902	140254212	426455.377	8194	0.000	100.000	1	361	0.000	2374284	0.000	0	0.000	1083	0.999	0	0.000	0.000	122	0.000	1235	0	0.000
