Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
34	UPDATE `user_state_core` SET `revision`=`revision` + N, `payload`='S' WHERE `user_id` = N AND `revision` = N	16.364911	0.481321	0.827499	0.131234	0.827163	0.000040	0.000001	0.000002	34	1.000000	1	0	0.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	4.385834	4.385834	4.385834	4.385834	4.385834	0.000002	0.000002	0.000002	0	0.000000	0	0	0.000000
25	SELECT * FROM `user_presents` WHERE `user_id` = N AND `id` <= N ORDER BY `id`	3.928943	0.157158	0.227770	0.102661	0.224060	0.000034	0.000001	0.000002	27498	1099.920000	1296	13749	549.960000
