sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T21:12:41.760977928Z	0	26	10000	2	2	8	10	0.000	808	0.000	85773	0.000	33716	0.000	17687	0.000	3061	0.000	2	0.000	221239877	0.000	111047901	0.000	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	535	0.000	0	0.000	0.000	5	0.000	10	0	0.000
1	2026-09-24T21:12:42.76214461Z	1001	26	10000	4	2	6	10	0.000	810	1.998	85799	25.970	33738	21.974	17687	0.000	3061	0.000	2	0.000	221265663	25755.951	111080417	32478.109	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	537	1.998	0	0.000	0.000	5	0.000	10	0	0.000
2	2026-09-24T21:12:43.762119469Z	2001	26	10000	4	2	6	10	0.000	810	0.000	85821	22.001	33759	21.001	17687	0.000	3061	0.000	2	0.000	221290531	24868.625	111111682	31265.786	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	538	1.000	0	0.000	0.000	5	0.000	10	0	0.000
3	2026-09-24T21:12:44.762251065Z	3001	26	10000	4	2	6	10	0.000	810	0.000	85843	21.997	33780	20.997	17687	0.000	3061	0.000	2	0.000	221315399	24864.728	111142947	31260.886	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	539	1.000	0	0.000	0.000	5	0.000	10	0	0.000
4	2026-09-24T21:12:45.762119211Z	4001	26	10000	4	2	6	10	0.000	810	0.000	85865	22.003	33801	21.003	17687	0.000	3061	0.000	2	0.000	221340267	24871.279	111174212	31269.123	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	540	1.000	0	0.000	0.000	5	0.000	10	0	0.000
5	2026-09-24T21:12:46.7621106Z	5001	26	10000	4	2	6	10	0.000	810	0.000	85887	22.000	33822	21.000	17687	0.000	3061	0.000	2	0.000	221365135	24868.214	111205477	31265.269	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	541	1.000	0	0.000	0.000	5	0.000	10	0	0.000
6	2026-09-24T21:12:47.762140568Z	6001	26	10000	4	2	6	10	0.000	810	0.000	85909	21.999	33843	20.999	17687	0.000	3061	0.000	2	0.000	221390003	24867.255	111236742	31264.063	65536	8352	0	22018298	0.000	19190	0.000	0.000	0	0	0.000	0	0.000	0	0.000	542	1.000	0	0.000	0.000	5	0.000	10	0	0.000
7	2026-09-24T21:12:48.762549254Z	7001	26	10000	5	3	5	10	0.000	811	1.000	85954	44.982	33867	23.990	17687	0.000	3061	0.000	2	0.000	221416054	26040.357	111268570	31814.997	65536	8424	208	22034571	16266.352	19318	127.948	99.213	0	0	0.000	0	0.000	0	0.000	543	1.000	0	0.000	0.000	5	0.000	10	0	0.000
8	2026-09-24T21:12:49.762178191Z	8001	26	10000	5	3	5	10	0.000	811	0.000	85989	35.013	33888	21.008	17687	0.000	3061	0.000	2	0.000	221442768	26723.916	111299980	31421.659	65536	9977	271	22052638	18073.706	19366	48.018	99.734	0	0	0.000	0	0.000	0	0.000	544	1.000	0	0.000	0.000	5	0.000	10	0	0.000
9	2026-09-24T21:12:50.762920655Z	9001	26	10000	5	3	5	10	0.000	812	0.999	86091	101.924	33910	21.984	17697	9.993	3061	0.000	2	0.000	222723233	1279515.013	111332708	32703.719	65536	9747	720	22124550	71858.648	19392	25.981	99.964	0	0	0.000	0	0.000	0	0.000	545	0.999	0	0.000	0.000	5	0.000	10	0	0.000
