ingress_host	upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
isucon-1	127.0.0.1:8080	200	NONE	3687	3687	0	0	0	0	497121.000	134.831	496952.000	134.785
isucon-1	127.0.0.1:8080	204	NONE	1	1	0	0	0	0	9.000	9.000	8.000	8.000
isucon-1	127.0.0.1:8080	400	NONE	2	0	0	2	0	0	3.000	1.500	8.000	4.000
isucon-1	127.0.0.1:8080	401	NONE	2	0	0	2	0	0	62.000	31.000	64.000	32.000
isucon-1	127.0.0.1:8080	403	NONE	92	0	0	92	0	0	1102.000	11.978	1096.000	11.913
isucon-1	127.0.0.1:8080	404	NONE	2	0	0	2	0	0	2.000	1.000	0.000	0.000
isucon-1	127.0.0.1:8080	422	NONE	22	0	0	22	0	0	75.000	3.409	68.000	3.091
isucon-1	127.0.0.1:8080	500	NONE	1316	0	0	0	1316	0	3315.000	2.519	3236.000	2.459
isucon-1	127.0.0.1:8080	NONE	NONE	43	0	0	43	0	0	247138.000	5747.395	247084.000	5746.140
isucon-1	NONE	NONE	NONE	12	0	0	0	12	0	6.000	0.500	0.000	0.000
