sample	timestamp	elapsed_ms	database_host	pool	role	shard	metric	value
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	max_open_connections	50.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	open_connections	2.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	in_use	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	idle	2.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	wait_count_total	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
0	2026-09-24T22:14:05.293Z	981750	127.0.0.1	main	local	0	average_wait_ms	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	max_open_connections	50.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	open_connections	2.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	in_use	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	idle	2.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	wait_count_total	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
1	2026-09-24T22:14:06.294Z	982751	127.0.0.1	main	local	0	average_wait_ms	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	max_open_connections	50.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	open_connections	2.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	in_use	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	idle	2.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	wait_count_total	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
2	2026-09-24T22:14:07.294Z	983751	127.0.0.1	main	local	0	average_wait_ms	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	max_open_connections	50.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	open_connections	2.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	in_use	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	idle	2.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	wait_count_total	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
3	2026-09-24T22:14:08.294Z	984751	127.0.0.1	main	local	0	average_wait_ms	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	max_open_connections	50.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	open_connections	2.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	in_use	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	idle	2.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	wait_count_total	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
4	2026-09-24T22:14:09.295Z	985752	127.0.0.1	main	local	0	average_wait_ms	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	max_open_connections	50.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	open_connections	2.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	in_use	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	idle	2.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	wait_count_total	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
5	2026-09-24T22:14:10.295Z	986752	127.0.0.1	main	local	0	average_wait_ms	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	max_open_connections	50.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	open_connections	2.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	in_use	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	idle	2.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	wait_count_total	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	wait_duration_ms_per_sec	0.000000
6	2026-09-24T22:14:11.295Z	987752	127.0.0.1	main	local	0	average_wait_ms	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	max_open_connections	50.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	open_connections	2.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	in_use	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	idle	2.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	pool_utilization_pct	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	wait_count_total	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	wait_duration_ms_total	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	max_idle_closed_total	2175.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	max_idle_time_closed_total	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	max_lifetime_closed_total	0.000000
7	2026-09-24T22:14:12.294Z	988751	127.0.0.1	main	local	0	wait_count_per_sec	0.000000
