Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
517	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	84.210110	0.162882	0.397727	0.100934	0.247907	0.018622	0.000036	0.004315	278107	537.924565	679	13793	26.678917
84	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	13.598774	0.161890	0.327433	0.100298	0.277858	0.000570	0.000007	0.000342	2352	28.000000	28	0	0.000000
30	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N),(N,N,N,N,N,N,'S',N,N)	3.992268	0.133076	0.224377	0.100041	0.219005	0.000032	0.000001	0.000002	0	0.000000	0	0	0.000000
23	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	3.528429	0.153410	0.263318	0.100113	0.251482	0.000029	0.000001	0.000002	851	37.000000	37	0	0.000000
24	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	3.418234	0.142426	0.199272	0.100263	0.196369	0.000026	0.000001	0.000002	912	38.000000	38	0	0.000000
24	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	3.370898	0.140454	0.218895	0.100245	0.192010	0.000023	0.000001	0.000001	840	35.000000	35	0	0.000000
19	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` IN ('S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S','S')	2.810130	0.147902	0.228995	0.102549	0.228995	0.000019	0.000001	0.000001	684	36.000000	36	0	0.000000
