+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
| COUNT | METHOD |                 URI                  | 2XX  | 3XX | 4XX | 5XX |  MAX   |  AVG   |   SUM    |  P90   |  P99   |  SUM(BODY)   | AVG(BODY)  |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
| 3435  | POST   | ^/user/[^/]+/present/receive$        | 3410 | 0   | 25  | 0   | 1.458  | 0.315  | 1082.303 | 0.663  | 0.930  | 16585050.000 | 4828.253   |
| 2680  | POST   | ^/user/[^/]+/gacha/draw/[^/]+/[^/]+$ | 2660 | 0   | 20  | 0   | 0.877  | 0.151  | 405.128  | 0.360  | 0.546  | 5531693.000  | 2064.065   |
| 2602  | POST   | /login                               | 2040 | 0   | 562 | 0   | 0.629  | 0.133  | 346.473  | 0.301  | 0.450  | 3132605.000  | 1203.922   |
| 2699  | GET    | ^/user/[^/]+/gacha/index$            | 2679 | 0   | 20  | 0   | 0.768  | 0.114  | 306.858  | 0.280  | 0.497  | 23218999.000 | 8602.815   |
| 3448  | GET    | ^/user/[^/]+/present/index/[^/]+$    | 3436 | 0   | 12  | 0   | 0.547  | 0.087  | 301.545  | 0.215  | 0.359  | 14938937.000 | 4332.638   |
| 2770  | GET    | ^/user/[^/]+/home$                   | 2749 | 0   | 21  | 0   | 0.619  | 0.070  | 194.142  | 0.183  | 0.358  | 1069335.000  | 386.042    |
| 2024  | POST   | ^/user/[^/]+/reward$                 | 2011 | 0   | 13  | 0   | 0.647  | 0.092  | 186.716  | 0.228  | 0.425  | 433243.000   | 214.053    |
| 748   | POST   | /user                                | 730  | 0   | 18  | 0   | 0.758  | 0.244  | 182.827  | 0.474  | 0.662  | 5289481.000  | 7071.499   |
| 707   | POST   | ^/user/[^/]+/card/addexp/[^/]+$      | 699  | 0   | 8   | 0   | 0.757  | 0.119  | 83.859   | 0.304  | 0.534  | 232178.000   | 328.399    |
| 713   | GET    | ^/user/[^/]+/item$                   | 708  | 0   | 5   | 0   | 0.630  | 0.097  | 69.091   | 0.255  | 0.440  | 1083495.000  | 1519.628   |
| 700   | POST   | ^/user/[^/]+/card$                   | 698  | 0   | 2   | 0   | 0.585  | 0.081  | 56.989   | 0.221  | 0.373  | 147273.000   | 210.390    |
| 1     | POST   | /initialize                          | 1    | 0   | 0   | 0   | 21.151 | 21.151 | 21.151   | 21.151 | 21.151 | 18.000       | 18.000     |
| 4     | POST   | /admin/login                         | 2    | 0   | 2   | 0   | 0.095  | 0.056  | 0.224    | 0.095  | 0.095  | 433.000      | 108.250    |
| 1     | GET    | ^/admin/user/[^/]+$                  | 1    | 0   | 0   | 0   | 0.085  | 0.085  | 0.085    | 0.085  | 0.085  | 42929.000    | 42929.000  |
| 1     | PUT    | /admin/master                        | 1    | 0   | 0   | 0   | 0.012  | 0.012  | 0.012    | 0.012  | 0.012  | 58.000       | 58.000     |
| 1     | DELETE | /admin/logout                        | 1    | 0   | 0   | 0   | 0.006  | 0.006  | 0.006    | 0.006  | 0.006  | 0.000        | 0.000      |
| 1     | GET    | /admin/master                        | 1    | 0   | 0   | 0   | 0.004  | 0.004  | 0.004    | 0.004  | 0.004  | 118563.000   | 118563.000 |
| 1     | POST   | ^/admin/user/[^/]+/ban$              | 1    | 0   | 0   | 0   | 0.001  | 0.001  | 0.001    | 0.001  | 0.001  | 178.000      | 178.000    |
| 1     | GET    | /index.html                          | 1    | 0   | 0   | 0   | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 396.000      | 396.000    |
| 1     | POST   | /index.html                          | 0    | 0   | 1   | 0   | 0.000  | 0.000  | 0.000    | 0.000  | 0.000  | 552.000      | 552.000    |
+-------+--------+--------------------------------------+------+-----+-----+-----+--------+--------+----------+--------+--------+--------------+------------+
