sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-24T16:18:20.17506473Z	0	isuconquest.go.service	1	0.000000	0.000000	0.000000	0.000000	61292544	1.580009	91492352	0.000000	0.000000	4
0	2026-09-24T16:18:20.17506473Z	0	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
0	2026-09-24T16:18:20.17506473Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	3235958784	83.417082	3346079744	0.000000	0.000000	140
1	2026-09-24T16:18:21.184564558Z	1009	isuconquest.go.service	1	0.590887	0.295443	0.558197	0.032590	61808640	1.593313	91492352	133896.011722	0.000000	5
1	2026-09-24T16:18:21.184564558Z	1009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
1	2026-09-24T16:18:21.184564558Z	1009	mysql.service	1	1.059535	0.529767	1.021892	0.037642	3236278272	83.425318	3346079744	292136.752848	0.000000	140
2	2026-09-24T16:18:22.1852987Z	2010	isuconquest.go.service	1	1.281259	0.640630	0.721270	0.560089	62484480	1.610735	91492352	0.000000	0.000000	5
2	2026-09-24T16:18:22.1852987Z	2010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
2	2026-09-24T16:18:22.1852987Z	2010	mysql.service	1	0.828592	0.414296	0.703284	0.125408	3236278272	83.425318	3346079744	0.000000	0.000000	140
3	2026-09-24T16:18:23.185134144Z	3010	isuconquest.go.service	1	1.050873	0.525436	1.010466	0.040407	62889984	1.621188	91492352	0.000000	0.000000	5
3	2026-09-24T16:18:23.185134144Z	3010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
3	2026-09-24T16:18:23.185134144Z	3010	mysql.service	1	0.911550	0.455775	0.773627	0.137923	3236278272	83.425318	3346079744	0.000000	0.000000	140
4	2026-09-24T16:18:24.184924728Z	4009	isuconquest.go.service	1	0.984606	0.492303	0.984506	0.000000	62939136	1.622455	91492352	0.000000	0.000000	5
4	2026-09-24T16:18:24.184924728Z	4009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
4	2026-09-24T16:18:24.184924728Z	4009	mysql.service	1	0.838876	0.419438	0.364276	0.474499	3236278272	83.425318	3346079744	0.000000	0.000000	140
5	2026-09-24T16:18:25.184726622Z	5009	isuconquest.go.service	1	1.047908	0.523954	1.048008	0.000000	63086592	1.626257	91492352	0.000000	0.000000	5
5	2026-09-24T16:18:25.184726622Z	5009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
5	2026-09-24T16:18:25.184726622Z	5009	mysql.service	1	0.843067	0.421534	0.715542	0.127625	3236278272	83.425318	3346079744	0.000000	4096.811607	140
6	2026-09-24T16:18:26.185082827Z	6010	isuconquest.go.service	1	1.003942	0.501971	0.835302	0.168640	63246336	1.630375	91492352	0.000000	0.000000	5
6	2026-09-24T16:18:26.185082827Z	6010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
6	2026-09-24T16:18:26.185082827Z	6010	mysql.service	1	0.810211	0.405106	0.687555	0.122656	3236278272	83.425318	3346079744	0.000000	0.000000	140
7	2026-09-24T16:18:27.184697205Z	7009	isuconquest.go.service	1	2.380118	1.190059	1.424349	0.955668	66207744	1.706714	91492352	20487.899519	0.000000	9
7	2026-09-24T16:18:27.184697205Z	7009	nginx.service	1	0.014606	0.007303	0.006603	0.008003	8134656	0.209697	21135360	0.000000	0.000000	3
7	2026-09-24T16:18:27.184697205Z	7009	mysql.service	1	5.235719	2.617859	4.182012	1.053706	3236360192	83.427429	3346079744	528587.807601	237659.634425	140
8	2026-09-24T16:18:28.185292686Z	8010	isuconquest.go.service	1	4.588468	2.294234	3.110748	1.477820	100409344	2.588369	100483072	17029220.274343	0.000000	9
8	2026-09-24T16:18:28.185292686Z	8010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8130560	0.209591	21135360	0.000000	0.000000	3
8	2026-09-24T16:18:28.185292686Z	8010	mysql.service	1	37.132590	18.566295	33.788981	3.343609	3237593088	83.459211	3346079744	1064326.267146	11216361.430697	140
9	2026-09-24T16:18:29.185237074Z	9010	isuconquest.go.service	1	6.353653	3.176827	6.273749	0.079804	97513472	2.513718	101642240	0.000000	0.000000	9
9	2026-09-24T16:18:29.185237074Z	9010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8130560	0.209591	21135360	0.000000	0.000000	3
9	2026-09-24T16:18:29.185237074Z	9010	mysql.service	1	72.402825	36.201413	67.441049	4.961776	3250106368	83.781780	3346079744	16384.910919	34436986.524266	140
10	2026-09-24T16:18:30.184617031Z	10009	isuconquest.go.service	1	7.435210	3.717605	7.435310	0.000000	94158848	2.427242	101642240	0.000000	0.000000	9
10	2026-09-24T16:18:30.184617031Z	10009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8130560	0.209591	21135360	0.000000	0.000000	3
10	2026-09-24T16:18:30.184617031Z	10009	mysql.service	1	95.924979	47.962490	92.575702	3.349177	3266510848	84.204658	3346079744	20492.706687	30472654.843890	140
11	2026-09-24T16:18:31.185288902Z	11010	isuconquest.go.service	1	7.473179	3.736590	7.473179	0.000000	86888448	2.239825	101642240	0.000000	0.000000	9
11	2026-09-24T16:18:31.185288902Z	11010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8118272	0.209274	21135360	0.000000	0.000000	3
11	2026-09-24T16:18:31.185288902Z	11010	mysql.service	1	91.831002	45.915501	86.930795	4.900208	3276234752	84.455322	3346079744	16372.999604	42393789.223984	140
12	2026-09-24T16:18:32.184614198Z	12009	isuconquest.go.service	1	8.537860	4.268930	5.753582	2.784178	89772032	2.314158	101642240	16788543.179718	0.000000	9
12	2026-09-24T16:18:32.184614198Z	12009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8085504	0.208429	21135360	0.000000	0.000000	3
12	2026-09-24T16:18:32.184614198Z	12009	mysql.service	1	85.079903	42.539952	82.086484	2.993420	3270553600	84.308873	3346079744	16395.061699	32499111.052730	140
13	2026-09-24T16:18:33.184610151Z	13009	isuconquest.go.service	1	6.768427	3.384214	6.339826	0.428602	82509824	2.126952	101642240	0.000000	0.000000	10
13	2026-09-24T16:18:33.184610151Z	13009	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8069120	0.208007	21135360	0.000000	0.000000	3
13	2026-09-24T16:18:33.184610151Z	13009	mysql.service	1	87.685455	43.842728	83.969540	3.715915	3278196736	84.505899	3346079744	12288.049754	45826233.550420	140
14	2026-09-24T16:18:34.185240249Z	14010	isuconquest.go.service	1	7.532953	3.766477	6.209288	1.323766	79364096	2.045861	101642240	0.000000	0.000000	10
14	2026-09-24T16:18:34.185240249Z	14010	nginx.service	1	0.000000	0.000000	0.000000	0.000000	8065024	0.207902	21135360	0.000000	0.000000	3
14	2026-09-24T16:18:34.185240249Z	14010	mysql.service	1	92.026814	46.013407	87.882125	4.144788	3291951104	84.860461	3346079744	16373.682910	48932751.375493	140
15	2026-09-24T16:18:35.18488002Z	15009	isuconquest.go.service	1	7.556322	3.778161	7.203495	0.352827	75071488	1.935205	101642240	0.000000	0.000000	10
