sample	timestamp	elapsed_ms	status_rows	max_connections	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec	max_used_connections	connection_errors_max_connections_total	connection_errors_max_connections_per_sec
0	2026-09-24T20:14:42.691103743Z	0	26	10000	5	2	21	26	0.000	3699	0.000	117932	0.000	39397	0.000	19239	0.000	16357	0.000	2	0.000	820339160	0.000	87711369	0.000	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	271	0.000	0	0.000	0.000	1	0.000	26	0	0.000
1	2026-09-24T20:14:43.692130198Z	1001	26	10000	5	2	21	26	0.000	3699	0.000	117954	21.977	39418	20.978	19239	0.000	16357	0.000	2	0.000	820364028	24842.500	87742637	31235.938	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	272	0.999	0	0.000	0.000	1	0.000	26	0	0.000
2	2026-09-24T20:14:44.69209712Z	2000	26	10000	5	2	21	26	0.000	3699	0.000	117976	22.001	39439	21.001	19239	0.000	16357	0.000	2	0.000	820388896	24868.823	87773905	31269.034	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	273	1.000	0	0.000	0.000	1	0.000	26	0	0.000
3	2026-09-24T20:14:45.692052063Z	3000	26	10000	5	2	21	26	0.000	3699	0.000	117998	22.001	39460	21.001	19239	0.000	16357	0.000	2	0.000	820413764	24869.121	87805173	31269.409	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	274	1.000	0	0.000	0.000	1	0.000	26	0	0.000
4	2026-09-24T20:14:46.692136168Z	4001	26	10000	5	2	21	26	0.000	3699	0.000	118020	21.998	39481	20.998	19239	0.000	16357	0.000	2	0.000	820438632	24865.909	87836441	31265.371	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	275	1.000	0	0.000	0.000	1	0.000	26	0	0.000
5	2026-09-24T20:14:47.692148486Z	5001	26	10000	5	2	21	26	0.000	3699	0.000	118042	22.000	39502	21.000	19239	0.000	16357	0.000	2	0.000	820463500	24867.693	87867709	31267.615	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	276	1.000	0	0.000	0.000	1	0.000	26	0	0.000
6	2026-09-24T20:14:48.692139898Z	6001	26	10000	5	2	21	26	0.000	3699	0.000	118064	22.000	39523	21.000	19239	0.000	16357	0.000	2	0.000	820488368	24868.213	87898977	31268.268	65536	8192	0	52620980	0.000	16664	0.000	0.000	0	0	0.000	0	0.000	0	0.000	277	1.000	0	0.000	0.000	1	0.000	26	0	0.000
7	2026-09-24T20:14:49.692162824Z	7001	26	10000	6	3	20	26	0.000	3700	1.000	118117	52.999	39547	23.999	19239	0.000	16357	0.000	2	0.000	820515364	26995.381	87930896	31918.268	65536	9995	222	52652853	31872.269	16664	0.000	100.000	0	0	0.000	0	0.000	0	0.000	278	1.000	0	0.000	0.000	1	0.000	26	0	0.000
8	2026-09-24T20:14:50.692193092Z	8001	26	10000	6	3	20	26	0.000	3701	1.000	118220	102.997	39569	21.999	19249	10.000	16357	0.000	2	0.000	821796212	1280808.985	87963638	32741.003	65536	9789	526	52724980	72124.803	16675	11.000	99.985	0	0	0.000	0	0.000	0	0.000	279	1.000	0	0.000	0.000	1	0.000	26	0	0.000
9	2026-09-24T20:14:51.692622899Z	9001	26	10000	6	3	20	26	0.000	3701	0.000	118247	26.988	39590	20.991	19253	3.998	16357	0.000	2	0.000	826973822	5175386.597	87995188	31536.452	65536	9253	980	53182925	457748.346	16675	0.000	100.000	0	0	0.000	0	0.000	0	0.000	280	1.000	0	0.000	0.000	1	0.000	26	0	0.000
10	2026-09-24T20:14:52.692487608Z	10001	26	10000	6	3	20	26	0.000	3701	0.000	118275	28.004	39612	22.003	19257	4.001	16357	0.000	2	0.000	831122237	4148976.307	88027692	32508.398	65536	8891	1088	53611854	428987.037	16675	0.000	100.000	0	0	0.000	0	0.000	0	0.000	282	2.000	0	0.000	0.000	1	0.000	26	0	0.000
11	2026-09-24T20:14:53.692552802Z	11001	26	10000	6	3	20	26	0.000	3701	0.000	118300	24.998	39633	20.999	19261	4.000	16357	0.000	2	0.000	834239309	3116868.811	88059131	31436.951	65536	8453	1338	54051475	439592.343	16675	0.000	100.000	0	0	0.000	0	0.000	0	0.000	283	1.000	0	0.000	0.000	1	0.000	26	0	0.000
12	2026-09-24T20:14:54.692578847Z	12001	26	10000	6	3	20	26	0.000	3701	0.000	118326	25.999	39654	20.999	19265	4.000	16357	0.000	2	0.000	838387070	4147652.970	88090626	31494.180	65536	8263	1387	54502138	450651.262	16675	0.000	100.000	0	0	0.000	0	0.000	0	0.000	284	1.000	0	0.000	0.000	1	0.000	26	0	0.000
