Count	Query	Sum(QueryTime)	Avg(QueryTime)	Max(QueryTime)	Min(QueryTime)	P95(QueryTime)	Sum(LockTime)	Avg(LockTime)	Max(LockTime)	Sum(RowsExamined)	Avg(RowsExamined)	Max(RowsExamined)	Sum(RowsSent)	Avg(RowsSent)
357	SELECT * FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL ORDER BY `created_at` DESC,`id` LIMIT N,N	61.594637	0.172534	0.413186	0.100093	0.314937	0.016070	0.000045	0.004209	186947	523.661064	678	9371	26.249300
272	SELECT COUNT(N) FROM `user_presents` WHERE `user_id` = N AND `deleted_at` IS NULL	45.574603	0.167554	0.430119	0.100363	0.286655	0.000355	0.000001	0.000019	143325	526.930147	653	272	1.000000
65	UPDATE `user_presents` SET `deleted_at`=N, `updated_at`=N WHERE `id` = N	8.625368	0.132698	0.252318	0.100772	0.198266	0.000076	0.000001	0.000020	65	1.000000	1	0	0.000000
40	INSERT INTO `user_presents` (`id`,`user_id`,`sent_at`,`item_type`,`item_id`,`amount`,`present_message`,`created_at`,`updated_at`) VALUES (N,N,N,N,N,N,'S',N,N)	5.203875	0.130097	0.260685	0.100125	0.168873	0.000037	0.000001	0.000001	0	0.000000	0	0	0.000000
35	SELECT * FROM `user_sessions` WHERE `session_id` = 'S' AND `deleted_at` IS NULL	4.114938	0.117570	0.161735	0.100253	0.156669	0.000416	0.000012	0.000375	50827	1452.200000	1829	35	1.000000
1	LOAD DATA INFILE /var/lib/mysql-files/5_user_presents_not_receive_data.tsv REPLACE INTO TABLE `user_presents` FIELDS ESCAPED BY | IGNORE 1 LINES	2.980602	2.980602	2.980602	2.980602	2.980602	0.000002	0.000002	0.000002	0	0.000000	0	0	0.000000
15	INSERT INTO `user_sessions` (`id`,`user_id`,`session_id`,`created_at`,`updated_at`,`expired_at`) VALUES (N,N,'S',N,N,N)	2.898357	0.193224	0.406970	0.104267	0.406970	2.868098	0.191207	0.406669	0	0.000000	0	0	0.000000
