upstream_addr	upstream_status	cache_status	requests	status_2xx	status_3xx	status_4xx	status_5xx	status_other	response_time_sum_ms	response_time_avg_ms	upstream_time_sum_ms	upstream_time_avg_ms
127.0.0.1:8080	200	NONE	3	3	0	0	0	0	28961.000	9653.667	28960.000	9653.333
127.0.0.1:8080	401	NONE	1	0	0	1	0	0	60.000	60.000	60.000	60.000
127.0.0.1:8080	404	NONE	1	0	0	1	0	0	2.000	2.000	4.000	4.000
172.31.33.164:8080	200	NONE	1	1	0	0	0	0	8.000	8.000	8.000	8.000
172.31.36.222:8080	401	NONE	1	0	0	1	0	0	2.000	2.000	0.000	0.000
172.31.36.222:8080	404	NONE	1	0	0	1	0	0	21.000	21.000	20.000	20.000
172.31.36.71:8080	200	NONE	1	1	0	0	0	0	14.000	14.000	16.000	16.000
172.31.45.101:8080	200	NONE	1	1	0	0	0	0	120.000	120.000	120.000	120.000
172.31.45.101:8080	401	NONE	1	0	0	1	0	0	1.000	1.000	4.000	4.000
172.31.45.54:8080	200	NONE	2	2	0	0	0	0	5.000	2.500	4.000	2.000
