sample	timestamp	elapsed_ms	captured_waits	capture_error	wait_key	requesting_trx_id	blocking_trx_id	object_schema	object_table	object_index	request_lock_type	request_lock_mode	request_lock_data	blocking_lock_type	blocking_lock_mode	blocking_lock_data	requesting_thread_id	requesting_processlist_id	requesting_sql	blocking_thread_id	blocking_processlist_id	blocking_sql
0	2026-09-24T20:16:27.857417398Z	0	0																			
1	2026-09-24T20:16:27.910551285Z	53	0																			
2	2026-09-24T20:16:27.96122991Z	103	0																			
3	2026-09-24T20:16:28.010710671Z	153	0																			
4	2026-09-24T20:16:28.061222129Z	203	0																			
5	2026-09-24T20:16:28.110714516Z	253	0																			
6	2026-09-24T20:16:28.16119155Z	303	0																			
7	2026-09-24T20:16:28.210886819Z	353	0																			
8	2026-09-24T20:16:28.260482202Z	403	0																			
9	2026-09-24T20:16:28.31117403Z	453	0																			
10	2026-09-24T20:16:28.360825497Z	503	0																			
11	2026-09-24T20:16:28.411442718Z	554	0																			
12	2026-09-24T20:16:28.461085547Z	603	0																			
13	2026-09-24T20:16:28.510715029Z	653	0																			
14	2026-09-24T20:16:28.5612267Z	703	0																			
15	2026-09-24T20:16:28.610772799Z	753	0																			
16	2026-09-24T20:16:28.661225656Z	803	0																			
17	2026-09-24T20:16:28.710636667Z	853	0																			
18	2026-09-24T20:16:28.761084224Z	903	0																			
19	2026-09-24T20:16:28.810593049Z	953	0																			
20	2026-09-24T20:16:28.861010361Z	1003	0																			
21	2026-09-24T20:16:28.911461726Z	1054	0																			
22	2026-09-24T20:16:28.961021364Z	1103	0																			
23	2026-09-24T20:16:29.010470286Z	1153	0																			
24	2026-09-24T20:16:29.060907985Z	1203	0																			
25	2026-09-24T20:16:29.111415289Z	1253	0																			
26	2026-09-24T20:16:29.160923673Z	1303	0																			
27	2026-09-24T20:16:29.210618288Z	1353	0																			
28	2026-09-24T20:16:29.261226637Z	1403	0																			
29	2026-09-24T20:16:29.310914444Z	1453	0																			
30	2026-09-24T20:16:29.360443893Z	1503	0																			
31	2026-09-24T20:16:29.411117275Z	1553	0																			
32	2026-09-24T20:16:29.460861315Z	1603	0																			
33	2026-09-24T20:16:29.51042864Z	1653	0																			
34	2026-09-24T20:16:29.561008777Z	1703	0																			
35	2026-09-24T20:16:29.610595817Z	1753	0																			
36	2026-09-24T20:16:29.661133162Z	1803	0																			
37	2026-09-24T20:16:29.710559492Z	1853	0																			
38	2026-09-24T20:16:29.761007031Z	1903	0																			
39	2026-09-24T20:16:29.810446137Z	1953	0																			
40	2026-09-24T20:16:29.860933231Z	2003	0																			
41	2026-09-24T20:16:29.911442978Z	2054	0																			
42	2026-09-24T20:16:29.96093233Z	2103	0																			
43	2026-09-24T20:16:30.01138189Z	2153	0																			
44	2026-09-24T20:16:30.06078548Z	2203	0																			
45	2026-09-24T20:16:30.111235557Z	2253	0																			
46	2026-09-24T20:16:30.160755921Z	2303	0																			
47	2026-09-24T20:16:30.211220963Z	2353	0																			
48	2026-09-24T20:16:30.260763685Z	2403	0																			
49	2026-09-24T20:16:30.311305945Z	2453	0																			
50	2026-09-24T20:16:30.360862339Z	2503	0																			
51	2026-09-24T20:16:30.411459499Z	2554	0																			
52	2026-09-24T20:16:30.461048401Z	2603	0																			
53	2026-09-24T20:16:30.51057889Z	2653	0																			
54	2026-09-24T20:16:30.561083182Z	2703	0																			
55	2026-09-24T20:16:30.610642025Z	2753	0																			
56	2026-09-24T20:16:30.661176842Z	2803	0																			
57	2026-09-24T20:16:30.710709969Z	2853	0																			
58	2026-09-24T20:16:30.761228954Z	2903	0																			
59	2026-09-24T20:16:30.810766867Z	2953	0																			
60	2026-09-24T20:16:30.861383195Z	3003	0																			
61	2026-09-24T20:16:30.910938504Z	3053	0																			
62	2026-09-24T20:16:30.960601284Z	3103	0																			
63	2026-09-24T20:16:31.011219619Z	3153	0																			
64	2026-09-24T20:16:31.060837298Z	3203	0																			
65	2026-09-24T20:16:31.111406609Z	3253	0																			
66	2026-09-24T20:16:31.160932802Z	3303	0																			
67	2026-09-24T20:16:31.210554172Z	3353	0																			
68	2026-09-24T20:16:31.261100423Z	3403	0																			
69	2026-09-24T20:16:31.310871251Z	3453	0																			
70	2026-09-24T20:16:31.360591218Z	3503	0																			
71	2026-09-24T20:16:31.411288743Z	3553	0																			
72	2026-09-24T20:16:31.460965899Z	3603	0																			
73	2026-09-24T20:16:31.510643527Z	3653	0																			
74	2026-09-24T20:16:31.561309321Z	3703	0																			
75	2026-09-24T20:16:31.611017825Z	3753	0																			
76	2026-09-24T20:16:31.660718964Z	3803	0																			
77	2026-09-24T20:16:31.711443181Z	3854	0																			
78	2026-09-24T20:16:31.761145138Z	3903	0																			
79	2026-09-24T20:16:31.810817813Z	3953	0																			
80	2026-09-24T20:16:31.861444738Z	4004	0																			
81	2026-09-24T20:16:31.911012476Z	4053	0																			
82	2026-09-24T20:16:31.960661847Z	4103	0																			
83	2026-09-24T20:16:32.011314485Z	4153	0																			
84	2026-09-24T20:16:32.060993283Z	4203	0																			
85	2026-09-24T20:16:32.110689137Z	4253	0																			
86	2026-09-24T20:16:32.161404825Z	4303	0																			
87	2026-09-24T20:16:32.211052567Z	4353	0																			
88	2026-09-24T20:16:32.260653208Z	4403	0																			
89	2026-09-24T20:16:32.311322745Z	4453	0																			
90	2026-09-24T20:16:32.361090429Z	4503	0																			
91	2026-09-24T20:16:32.410792287Z	4553	0																			
92	2026-09-24T20:16:32.461469271Z	4604	0																			
93	2026-09-24T20:16:32.511152263Z	4653	0																			
94	2026-09-24T20:16:32.560791751Z	4703	0																			
95	2026-09-24T20:16:32.61043043Z	4753	0																			
96	2026-09-24T20:16:32.661086874Z	4803	0																			
97	2026-09-24T20:16:32.710752217Z	4853	0																			
98	2026-09-24T20:16:32.761378961Z	4903	0																			
99	2026-09-24T20:16:32.810983348Z	4953	0																			
100	2026-09-24T20:16:32.860552265Z	5003	0																			
101	2026-09-24T20:16:32.911083807Z	5053	0																			
102	2026-09-24T20:16:32.960629974Z	5103	0																			
103	2026-09-24T20:16:33.011197962Z	5153	0																			
104	2026-09-24T20:16:33.06071079Z	5203	0																			
105	2026-09-24T20:16:33.111289208Z	5253	0																			
106	2026-09-24T20:16:33.160836083Z	5303	0																			
107	2026-09-24T20:16:33.211411679Z	5353	0																			
108	2026-09-24T20:16:33.261072256Z	5403	0																			
109	2026-09-24T20:16:33.310791691Z	5453	0																			
110	2026-09-24T20:16:33.361448869Z	5504	0																			
111	2026-09-24T20:16:33.41109709Z	5553	0																			
112	2026-09-24T20:16:33.460735139Z	5603	0																			
113	2026-09-24T20:16:33.511387908Z	5653	0																			
114	2026-09-24T20:16:33.560996088Z	5703	0																			
115	2026-09-24T20:16:33.610621001Z	5753	0																			
116	2026-09-24T20:16:33.661282735Z	5803	0																			
117	2026-09-24T20:16:33.711042224Z	5853	0																			
118	2026-09-24T20:16:33.760647351Z	5903	0																			
119	2026-09-24T20:16:33.81135754Z	5953	0																			
120	2026-09-24T20:16:33.861039283Z	6003	0																			
121	2026-09-24T20:16:33.910719799Z	6053	0																			
122	2026-09-24T20:16:33.96138763Z	6103	0																			
123	2026-09-24T20:16:34.01109534Z	6153	0																			
124	2026-09-24T20:16:34.060772619Z	6203	0																			
125	2026-09-24T20:16:34.110442653Z	6253	0																			
126	2026-09-24T20:16:34.161120407Z	6303	0																			
127	2026-09-24T20:16:34.210783502Z	6353	0																			
128	2026-09-24T20:16:34.260432971Z	6403	0																			
129	2026-09-24T20:16:34.311182524Z	6453	0																			
130	2026-09-24T20:16:34.360950773Z	6503	0																			
